SL. No.,Crime Head,1992,1993,Percentage Variation in 1993 Over 1992,Percentage of Crime During 1993
1,Arms Act,67977,68343,0.5,1.5
2,Narcotic Drugs & Psychotropic Substances Act,24390,23061,-5.4,0.5
3,Gambling Act,357684,332866,-6.9,7.5
4,Excise Act,99912,101677,1.8,2.3
5,Prohibition Act,630667,609218,-3.4,13.7
6,Explosive & Explosive Substances Act,6942,7309,5.3,0.2
7,Immoral Traffic (P) Act,1388,15122,8.9,0.3
8,Indian Railways Act,28114,26729,-4.9,0.6
9,Registration of Foreigners Act,3421,3349,-2.1,0.1
10,Protection Of Civil Rights Act,8481,10392,22.5,0.2
11,Indian Passport Act,1720,2638,53.4,0.1
12,Essential Commodities Act,9448,8338,-11.7,0.2
13,Terrorist & Disruptive Actvites Act,2613,3570,36.6,0.1
14,Antiquity & Art Treasure Act,56,42,-25,0
15,Dowry Prohibition Act,4751,6107,28.5,0.1
16,Other L & SL Crimes,3055778,3243189,6.1,72.7
17,Total Cognizable Crimes Under L & SL,4315843,4461950,3.4,100
