SL. No.,Crime Head,1983,1988,1989,1990,1991,1992,Quinquennial Avg. 1988-1992 (Q.A),1993,Percentage change in 1993** - [(+)Increase/ (-) Decrease] - Over -1983,Percentage change in 1993** - [(+)Increase/ (-) Decrease] - Over - Quinquennial Avg.,Percentage change in 1993** - [(+)Increase/ (-) Decrease] - Over - 1992
1,Murder,12576,661,496,377,348,292,435,297,-76.4,-31.7,1.7
2,Attempt to Commit Murder,*,271,255,218,171,177,218,182,NA,-16.7,2.8
3,C.H. Not Amounting to Murder,84,41,52,38,24,19,35,15,-82.1,-56.9,-21.1
4,Rape,454,317,263,184,189,158,222,168,-63,-24.4,6.3
5,Kidnapping & Abduction,665,314,179,92,141,79,161,184,-72.3,14.3,132.9
5,I) Of Women & Girls,*,283,142,83,133,62,141,140,NA,-0.4,125.8
5,II) Of Others,*,31,37,9,8,17,20,44,NA,115.7,158.8
6,Dacoity,548,226,136,116,52,51,116,51,-90.7,-56.1,0
7,Preparation & Assembly for Dacoity,*,25,15,9,9,2,12,5,NA,-58.3,150
8,Robbery,991,408,258,185,164,87,220,98,-90.1,-55.5,12.6
9,Burglary,5795,2722,2131,1764,1553,1464,1927,1138,-80.4,-40.9,-22.3
10,Theft,13531,5584,4470,3778,4638,3203,4335,2404,-82.2,-44.5,-24.9
11,Riots,8795,3021,1916,1525,1270,906,1728,1023,-88.4,40.8,12.9
12,Criminal Breach of Trust,226,157,47,104,21,21,70,15,-93.4,-78.6,-28.6
13,Cheating,281,77,78,47,47,46,59,63,-77.6,6.8,37
14,Counterfeiting,18,1,4,0,2,0,1,1,-94.4,-28.6,@
15,Other IPC Crimes,22828,11002,8157,6793,3959,4595,6901,3821,-83.3,-44.6,-16.8
16,Total Cognizable Crimes Under IPC,55473,24827,18457,15230,12588,11100,16440,9465,-82.9,-42.4,-14.7
