SL. No. (Col. 1),Crime Head (Col. 2),Percentage of Cases to Total Cases for Trial - Compounded or withdrawn (Col. 3),Percentage of Cases to Total Cases for Trial - in which Trials were Completed - Convicted (Col. 4),Percentage of Cases to Total Cases for Trial - in which Trials were Completed - Acquitted or Discharged (Col. 5),Percentage of Cases to Total Cases for Trial - in which Trials were Completed - Total (Col. 4+5) (Col. 6),Percentage of Cases to Total Cases for Trial - Pending Trial (Col. 7)
1,Arms Act,0.3,13.5,7.7,21.2,78.5
2,Narcotic Drugs & Psychotropic Substances Act,0.2,7.5,9.3,16.8,83
3,Gambling Act,0.2,36.1,5.7,41.8,58.1
4,Excise Act,0.3,22.5,8.1,30.6,69.1
5,Prohibition Act,0.4,20.3,8.7,29,70.6
6,Explosive & Explosive Substances Act,0.1,7.5,10.7,18.3,81.7
7,Immoral Traffic (P) Act,0,53.4,5.6,59,40.9
8,Indian Railways Act,0.4,54.1,2,56.1,43.5
9,Registration of Foreigners Act,0.2,47.8,7.2,55,44.9
10,Protection Of Civil Rights Act,1,5.8,11.8,17.6,81.4
11,Indian Passport Act,0.5,56.6,3.1,59.7,39.8
12,Essential Commodities Act,1.3,6.1,7.8,13.9,84.8
13,Terrorist & Disruptive Actvites Act,0.2,3.1,3.8,6.9,92.9
14,Antiquity & Art Treasure Act,0,8.8,14.7,23.5,76.5
15,Dowry Prohibition Act,3.9,6,11.3,17.3,78.8
16,Other L & SL Crimes,2.9,70.5,3.9,74.4,22.6
17,Total Cognizable Crimes Under L & SL,1.7,47.9,5.9,53.7,44.5
