SL. No.,Crime Head,7-12 Years - Boys,7-12 Years - Girls,12-16 Years - Boys,12-16 Years - Girls,16-18 Years - Girls Only,Overall Age Group - Boys,Overall Age Group - Girls,Total (Boys + Girls)
1,Murder,25,6,302,18,50,327,74,401
2,Attempt to Commit Murder,19,2,200,34,34,219,70,289
3,C.H. Not Amounting to Murder,0,0,15,0,3,15,3,18
4,Rape,22,0,140,2,15,162,17,179
5,Kidnapping & Abduction,7,2,113,13,48,120,63,183
5,I) Of Women & Girls,6,2,77,10,40,83,52,135
5,II) Of Others,1,0,36,3,8,37,11,48
6,Dacoity,6,0,105,1,1,111,2,113
7,Preparation & Assembly for Dacoity,0,0,29,0,0,29,0,29
8,Robbery,2,1,122,0,0,124,1,125
9,Burglary,232,9,1279,33,35,1511,77,1588
10,Theft,413,62,2310,146,122,2723,330,3053
11,Riots,45,12,1425,31,179,1470,222,1692
12,Criminal Breach of Trust,0,0,11,0,2,11,2,13
13,Cheating,4,1,43,4,12,47,17,64
14,Counterfeiting,0,0,1,0,0,1,0,1
15,Other IPC Crimes,428,66,3331,319,761,3759,1146,4905
A,Total Cognizable Crimes Under IPC,1203,161,9426,601,1262,10629,2024,12653
1,Arms Act,0,0,94,1,7,94,8,102
2,Narcotic Drugs & Psychotropic Substances Act,3,0,7,1,4,10,5,15
3,Gambling Act,41,0,561,10,5,602,15,617
4,Excise Act,13,6,99,5,29,112,40,152
5,Prohibition Act,20,8,442,22,931,462,961,1423
6,Explosive & Explosive Substances Act,1,0,0,0,1,1,1,2
7,Immoral Traffic (P) Act,0,1,6,25,146,6,172,178
8,Indian Railways Act,1,4,7,11,0,8,15,23
9,Registration of Foreigners Act,0,1,5,0,1,5,2,7
10,Protection Of Civil Rights Act,0,0,5,0,1,5,1,6
11,Indian Passport Act,2,1,3,0,0,5,1,6
12,Essential Commodities Act,0,0,1,0,0,1,0,1
13,Terrorist & Disruptive Actvites Act,0,0,0,0,0,0,0,0
14,Antiquity & Art Treasure Act,0,0,0,0,0,0,0,0
15,Dowry Prohibition Act,0,0,12,2,8,12,10,22
16,Other L & SL Crimes,2424,39,2015,76,306,4439,421,4860
B,Total Cognizable Crimes Under L & SL,2505,60,3257,153,1439,5762,1652,7414
Grand Total (A + B),Grand Total (A + B),3708,221,12683,754,2701,16391,3676,20067
