SL. No.,Crime Heads,Percentage of New Offenders Arrested to Total Arrested,Percentage of Offenders Who have been Arrested in the Past to Total Arrested - Once,Percentage of Offenders Who have been Arrested in the Past to Total Arrested - Twice,Percentage of Offenders Who have been Arrested in the Past to Total Arrested - Three times or more
1,Murder,95.8,3.31,0.48,0.41
2,Culpable Homicide Not Amounting to Murder,95.22,3.94,0.6,0.24
3,Rape,96.17,2.93,0.69,0.21
4,Kidnapping & Abduction,96.5,2.72,0.62,0.16
5,Dacoity,89.06,7.19,2.57,1.18
6,Robbery,89.26,7.42,2.41,0.91
7,Burglary,85.14,9.48,3.28,2.1
8,Thefts,86.45,8.48,2.96,2.11
9,Riots,96.85,2.67,0.38,0.1
10,Criminal Breach of Trust,95.36,3.77,0.63,0.24
11,Cheating,95.1,3.56,0.86,0.48
12,Counterfeiting,95.69,4,0.31,0
13,Total Cognizable Crime,92.78,5.39,1.15,0.68
