SL. No.,Heads of Crime,Number of Cases Reported During - 1968,Number of Cases Reported During - 1969,Number of Cases Reported During - 1970,Number of Cases Reported During - 1971,Number of Cases Reported During - 1972,Quinquennial average 1968 to 1972,Number of Cases Reported During - 1973,Change Over - Quinquennial Average,Change Over - 1972
1,Total IPC Cognizable Crime,21385,21703,27226,26846,31199,25672,36469,42.06,16.89
2,Murder,312,321,558,520,661,474,651,37.34,1.51
3,Kidnapping & Abduction,187,185,255,288,332,249,301,20.88,-9.34
4,Dacoity,82,96,129,122,236,133,317,138.34,34.32
5,Robbery,170,147,244,312,343,243,455,87.24,32.65
6,Burglary,2999,3412,4093,4471,4950,3985,6251,56.86,26.28
7,Thefts,9415,9445,10462,10422,12083,10365,14654,41.38,21.28
8,Riots,713,845,1888,1729,2536,1542,3541,129.64,39.63
9,Criminal Breach of Trust,218,243,220,214,226,224,252,12.5,11.5
10,Cheating,137,233,174,224,201,194,190,-2.07,-5.48
11,Counterfeiting,1,NA,NA,2,5,2,NA,NA,NA
12,Miscellaneous,7151,6776,9203,8542,2626,8261,9857,19.32,2.39
