SL. No.,Heads of Crime,Percentage of Cases Compounded or withdrawn to Total Cases During the Year,Percentage of Cases in which Trials were Completed to Total Cases Under Trial During the Year,Percentage of Cases Pending Trial at the End of the Year to Total Cases for Trial,Percentage of Cases Conviction to Cases in which Trials were Completed
1,Arms Act,0.2,32,67.8,73.9
2,Opium Act,0.2,53.4,46.4,80.1
3,Gambling Act,0.2,74.4,25.4,90.4
4,Excise Act,1.7,58,40.3,76.8
5,Prohibition Act,8.8,14.7,76.5,80
6,Explosives & Explosive Substances Act,1.2,48.7,50.1,76.3
7,Suppression of Immoral Traffic Act,1,48.6,50.4,51.8
8,Motor Vehicles Act,0.2,87.4,12.4,93.7
9,Prevention of Corruption Act,0.9,63.9,35.2,94.9
10,Customs Act,1.3,32,66.7,34.8
11,Indian Railways Act,0.1,90.4,9.5,98.9
12,Other Offences,0.4,89.9,9.7,98
13,Total,0.7,74,25.3,92.8
