SL. No.,Heads of Crime,Total Number of Cases for Investigation During the Year Including Cases Carried Over from Previous Year,Number of Cases in which Investigation was Refused or Declared False or Mistake of Fact or Law or Found Non Cognizable,Number of Cases Investigated during the Year,Number of Cases Pending Investigation at the End of the Year,Number of Cases in which Chargesheets were Laid
1,Murder,23042,903,15373,6766,11971
2,Culpable Homicide Not Amounting to Murder,3254,228,2168,858,1634
3,Rape,3922,339,2486,1097,1980
4,Kidnapping & Abduction,13903,2779,7017,4107,4317
5,Dacoity,17281,1540,8527,7214,5045
6,Robbery,23138,4304,13553,5281,7079
7,Burglary,209196,11449,165251,32496,55436
8,Thefts,433170,35857,334160,63153,124060
9,Riots,96968,16405,56056,24507,42181
10,Criminal Breach of Trust,35939,6016,14623,15300,9611
11,Cheating,21228,2326,10955,7947,6656
12,Counterfeiting,1072,76,459,537,111
13,Other IPC Offences,404115,46386,290572,67157,236202
14,Total Cognizable Crimes,1286228,128608,921200,236420,506283
