SL. No.,Crime Heads,Total number of persons in custody or on bail during the stage of investigation including persons under arrest carried over from prevoius year,Total number of persons in custody or on bail during the stage of investigation at the end of the year,Persons in whose cases chargesheets were laid during the year,Percentage of persons in custody or on bail during the stage of investigation pending at the end of the year to total persons in custody during the stage of investigation,Percentage of persons in whose cases chargesheets were laid to total persons under custody or on bail during the stage of investigation
1,Murder,49332,9057,36616,18.36,74.22
2,Culpable Homicide Not Amounting to Murder,5987,956,4387,15.97,73.28
3,Rape,4637,870,3199,18.76,68.99
4,Kidnapping & Abduction,16152,3419,9981,21.17,61.79
5,Dacoity,61499,16818,29044,27.35,47.23
6,Robbery,22123,3601,14699,16.28,66.44
7,Burglary,118659,11919,91221,10.04,76.88
8,Thefts,242683,22576,910398,9.3,78.46
9,Riots,484659,64152,351045,13.24,72.43
10,Criminal Breach of Trust,19521,6003,11600,30.75,59.42
11,Cheating,15178,3797,9507,25.02,62.64
12,Counterfeiting,523,247,167,47.23,31.93
13,Total Cognizable Crime,1573979,195299,1196625,12.41,76.03
