SL. No.,Heads of Crime,Percentage of Cases not Investigated or Mistake of Fact or Law or Non Cognizable to Total Cases for Investigation,Percentage of Cases in which Investigation was Completed to Total Cases for Investigation,Percentage of Cases Pending Investigation at the End of the Year to Total Cases for Investigation,Percentage of Cases Chargesheeted to Total Cases in which Investigation was Completed
1,Arms Act,0.9,83.8,15.3,97.7
2,Opium Act,0.4,77.7,21.9,98.6
3,Gambling Act,0,95.4,4.6,99.9
4,Excise Act,1.8,79.7,18.6,97.7
5,Prohibition Act,4.5,48.5,47,80.5
6,Explosives & Explosive Substances Act,4.7,56.2,39.1,82
7,Suppression of Immoral Traffic Act,0,97.9,2,99.8
8,Motor Vehicles Act,0.1,96.4,3.4,99.8
9,Prevention of Corruption Act,6.2,46.4,47.4,84.4
10,Customs Act,22.1,33.8,44.1,95.7
11,Indian Railways Act,0.5,97.8,1.7,97
12,Other Offences,0.6,97.7,1.7,99.4
13,Total,1,89.5,9.4,98.1
