SL. No.,Heads of Crime,Incidence - 1963,Volume - 1963,Incidence - 1968,Volume - 1968,Incidence - 1969,Volume - 1969,Incidence - 1970,Volume - 1970,Incidence - 1971,Volume - 1971,Incidence - 1972,Volume - 1972,Quinquennial Average 1968-1972 (Q.A.),Incidence - 1973,Volume - 1973,"Percentage Variation (+) Increase, (-) Decrease - Over - 1963","Percentage Variation (+) Increase, (-) Decrease - Over - Quinquennial Average","Percentage Variation (+) Increase, (-) Decrease - Over - 1972"
1,Total Cognizable Crime,658830,143.5,862016,164.7,845167,157.5,955422,173.7,952581,173.3,984773,175.3,919991,1077181,187.9,63.5,17.1,9.4
2,Murder,10754,2.3,13841,2.6,14732,2.7,15708,2.9,16180,2.9,15475,2.8,15187,17072,3,58.7,12.4,10.3
3,Kidnapping and Abduction,6924,1.3,8847,1.7,8464,1.6,10111,1.8,9647,1.8,9402,1.7,9294,10223,1.8,47.6,10,8.7
4,Dacoity,4997,1.1,6357,1.2,6049,1.1,9837,1.8,11193,2,10411,1.9,8769,10627,1.9,112.7,21.2,2.1
5,Robbery,7694,1.7,10194,1.9,9922,1.8,16958,3.1,18402,3.4,17054,3,14506,18857,3.3,145.1,29.9,10.6
6,Burglary,137025,30,156248,29.8,145429,27.1,166339,30.2,165807,30.2,167062,29.7,160177,181433,31.6,32.4,13.3,8.6
7,Thefts,242487,51.2,315513,60.2,300140,56,337211,61.3,335204,61,346382,61.7,326890,379412,66.2,56.5,16.1,9.5
8,Riots,28114,6.1,45811,8.7,55796,10.4,68331,12.4,64114,11.7,65781,11.7,59967,73388,12.8,161,22.4,11.6
9,Criminal Breach of Trust,18438,4,22410,4.2,21118,3.9,22679,4.1,20270,3.7,21004,3.7,21496,21837,3.8,18.4,1.6,4
10,Cheating,8854,1.9,12514,2.4,12001,2.2,12331,2.2,11412,2.1,12646,2.2,12181,14392,2.5,62.5,18.2,13.8
11,Counterfeiting,289,0.6,1425,0.3,739,0.1,650,0.2,641,0.1,670,0.1,825,582,0.1,104.5,-28.4,-11.8
12,Other IPC Offences,193254,42.1,268856,51.3,270777,50.5,295267,53.7,299711,54.4,318886,56.7,290699,349358,60.9,80.8,20.2,9.6
