SL. No.,Heads of Crime,"Percentage of Cases not Investigated, Mistake of Fact or Law, Non Cognizable to Total Cases for Investigation",Percentage of Cases in which Investigation was Completed to Total Cases for Investigation,Percentage of Cases Pending Investigation at the End of the Year to Total Cases for Investigation,Percentage of Cases Chargesheeted to Total Cases in which Investigation was Completed
1,Murder,3.9,66.7,29.4,77.9
2,Culpable Homicide Not Amounting to Murder,7,66.6,26.4,75.4
3,Rape,8.6,63.4,28,79.6
4,Kidnapping & Abduction,20,50.5,29.5,61.5
5,Dacoity,8.9,49.3,41.7,59.2
6,Robbery,18.6,58.6,22.8,52.2
7,Burglary,5.5,79,15.5,33.5
8,Thefts,8.3,77.1,14.6,37.1
9,Riots,16.9,57.8,25.3,75.2
10,Criminal Breach of Trust,16.7,40.7,42.6,65.7
11,Cheating,10.9,51.6,37.4,60.8
12,Counterfeiting,7.1,42.8,50.1,24.2
13,Other I.P.C. Offences,11.5,71.9,16.6,81.3
14,Total Cognizable Crimes Under I.P.C.,10,71.6,18.4,54.9
