SL. No.,Category,States/U.Ts/Cities,Murder - 1972,Murder - 1973,Murder - Percentage Variation,Kidnapping & Abduction - 1972,Kidnapping & Abduction - 1973,Kidnapping & Abduction - Percentage Variation,Dacoity - 1972,Dacoity - 1973,Dacoity - Perentage Variation,Robbery - 1972,Robbery - 1973,Robbery - Percentage Variation,Burglary - 1972,Burglary - 1973,Burglary - Percentage Variation,Thefts - 1972,Thefts - 1973,Thefts - Percentage Variation,Riots - 1972,Riots - 1973,Riots - Percentage Variation,Criminal Breach of Trust - 1972,Criminal Breach of Trust - 1973,Criminal Breach of Trust - Percentage Variation,Cheating - 1972,Cheating - 1973,Cheating - Percentage Variation,Counterfeiting - 1972,Counterfeiting - 1973,Counterfeiting - Percentage Variation,Total Cognizable Crime - 1972,Total Cognizable Crime - 1973,Total Cognizable Crime - Percentage Variation
1,State,Andhra Pradesh,1031,1247,20.95,147,159,8.16,165,191,15.76,225,221,-1.78,5746,6383,11.08,13671,12437,-9.03,3054,3144,2.95,678,598,-11.8,401,570,42.14,13,65,400,49914,51268,2.71
2,State,Assam,488,466,-4.51,451,472,4.66,229,253,10.48,154,351,127.92,5038,5723,13.6,7947,8432,6.1,4390,3819,-13.01,431,459,6.5,276,377,36.59,9,6,-33.33,30320,32007,5.56
3,State,Bihar,1401,1716,22.48,580,713,22.93,2142,1973,-7.89,1447,1420,-1.87,19082,18410,-3.52,25539,29499,15.5,10053,12498,24.32,1321,1315,-0.46,526,775,47.34,52,66,26.92,82744,92068,11.27
4,State,Gujarat,705,765,8.51,242,317,30.99,77,130,68.83,442,530,19.91,4056,5185,27.84,11464,15424,34.54,624,915,46.63,905,1111,22.76,515,743,44.27,44,6,-86.36,36157,45421,25.62
5,State,Haryana,175,216,23.43,129,129,NA,9,6,-33.33,15,30,100,1616,1618,0.12,2808,2664,-5.13,93,105,12.9,281,273,-2.85,149,160,7.38,2,3,50,9104,9388,3.12
6,State,Himachal Pradesh,46,66,43.48,58,66,13.79,2,1,-50,27,29,7.41,451,458,1.55,578,615,4.77,115,144,25.22,118,97,-17.8,88,67,-23.86,NA,NA,NA,3073,3342,8.75
7,State,Jammu & Kashmir,74,90,21.62,195,226,15.9,9,14,55.56,11,10,-9.09,880,925,5.11,1086,1117,2.85,586,671,14.5,74,93,25.68,50,63,26,2,NA,NA,6021,6622,9.98
8,State,Karnataka,684,712,4.09,119,133,11.76,106,260,145.28,144,224,55.56,6660,8287,24.43,11196,13554,21.06,2576,2877,11.68,680,677,-0.44,714,783,9.66,50,34,-32,37786,44401,17.51
9,State,Kerala,448,523,16.74,87,80,-8.05,34,49,44.12,157,186,18.47,4313,4574,6.05,4832,5270,9.06,5107,5695,11.51,371,499,34.5,246,275,11.79,93,47,-49.46,35442,41848,18.07
10,State,Madhya Pradesh,1686,1737,3.02,741,700,-5.53,387,372,-3.88,1152,1333,15.71,18180,22526,23.9,34010,40499,19.08,2474,3259,31.73,989,1138,15.06,1212,1265,4.37,23,20,-13.04,95556,110811,15.96
