SL. No.,Crime Heads,Total number of persons under trials during the year including persons carried over from previous year,Number of persons against whom cases were compounded or withdrawn,Persons in whose cases trial were completed,Persons in custody or on bail at the end of the year,Number of Persons convicted during the year,Percentage of persons in custody pending trial to number of persons under trials,Percentage of persons convicted to total persons in whose cases trials were completed during the year
1,Murder,86153,769,29459,55925,11128,64.91,37.77
2,Culpable Homicide Not Amounting to Murder,11853,44,2978,8831,1238,74.5,41.57
3,Rape,8156,64,2504,5588,898,68.51,35.86
4,Kidnapping & Abduction,31833,306,7476,24051,2494,75.55,33.36
5,Dacoity,83501,390,19547,63564,6449,76.12,32.99
6,Robbery,41415,413,10126,30876,4296,74.55,42.43
7,Burglary,221650,6158,61279,154213,42884,69.58,69.98
8,Thefts,448145,23210,129223,295712,84693,65.99,65.54
9,Riots,1026498,60056,182263,784179,60074,76.39,32.96
10,Criminal Breach of Trust,34636,1166,8148,25322,4744,73.14,58.22
11,Cheating,26842,1291,6347,19204,3425,71.54,53.96
12,Counterfeiting,722,9,216,497,44,68.84,20.37
13,Total Cognizable Crime,2981037,185283,727058,2068696,375413,69.4,51.63
