SL. No.,Heads of Crime,Percentage of Cases Compounded or withdrawn to Total Cases for Trial,Percentage of Cases in which Trials were Completed to Total Cases for Trial,Percentage of Cases Pending Trial at the End of the Year to Total Cases for Trial,Percentage of Cases Ended in Conviction to Total Cases for which Trials were Completed
1,Murder,0.8,36,63.2,47.1
2,Culpable Homicide Not Amounting to Murder,0.6,26.2,73.2,50.1
3,Rape,1,30.3,68.7,44.3
4,Kidnapping & Abduction,1.3,23.5,75.2,40.3
5,Dacoity,0.9,22.5,76.6,55.1
6,Robbery,1.3,24.2,74.5,48.5
7,Burglary,2.6,31.1,66.3,59.8
8,Thefts,4.7,34.1,61.2,64.6
9,Riots,4.9,15.8,79.3,35.7
10,Criminal Breach of Trust,3,23.2,73.8,61.4
11,Cheating,5.7,24.1,70.2,57.3
12,Counterfeiting,2.2,22.8,75,39.7
13,Other IPC Offences,8.4,29.5,62.1,67.1
14,Total Cognizable Crime,5.8,28.8,65.4,62
