SL. No.,Heads of Crime,Total Number of Cases for Investigation During the Year Including Cases Carried over from Previous Year,Number of Cases in which Investigation was Refused or Declared False or Mistake of Facts or Law or Found Non Cognizable,Number of Cases Investigated during the Year,Number of Cases Pending Investigation at the End of the Year,Number of Cases in which Chargesheets were Laid
1,Arms Act,36608,342,30670,5596,29971
2,Opium Act,15131,62,11754,3315,11587
3,Gambling Act,202396,58,193086,9252,192879
4,Excise Act,163318,2894,130094,30330,127131
5,Prohibition Act,358265,16078,173780,168407,139986
6,Explosives & Explosive Substances Act,2672,126,1501,1045,1231
7,Suppression of Immoral Traffic Act,12003,5,11762,236,11736
8,Motor Vehicles Act,699025,1001,674101,23923,673075
9,Prevention of Corruption Act,565,35,262,268,221
10,Customs Act,68,15,23,30,22
11,Indian Railways Act,31587,168,30882,537,29961
12,Other Offences,1277499,8277,1247970,21252,1240556
13,Total,2799137,29061,2505885,264191,2458356
