SL. No.,Heads of Crime,Total Number of Cases for Trial During the Year Including Cases Carried over from Previous Year,Number of Cases Compounded or Withdrawn During the Year,Number of Cases in which Trials Were Completed During the Year,Number of Cases Ended in Conviction During the Year,Number of Cases Pending Trial at the End of the Year
1,Murder,26978,207,9725,4584,17046
2,Culpable Homicide Not Amounting to Murder,4362,26,1142,572,3194
3,Rape,4991,52,1511,669,3428
4,Kidnapping & Abduction,13416,180,3145,1267,10091
5,Dacoity,15549,136,3501,1930,11912
6,Robbery,19818,250,4797,2326,14771
7,Burglary,125580,3266,39030,23359,83284
8,Thefts,261296,12312,89037,57515,159947
9,Riots,128593,6344,20260,7232,101989
10,Criminal Breach of Trust,28115,835,6520,4003,20760
11,Cheating,17845,1016,4303,2467,12526
12,Counterfeiting,364,8,83,33,273
13,Other IPC Offences,500411,42119,147634,99087,310658
14,Total Cognizable Crimes Under IPC,1147318,66751,330688,205044,749879
