SL. No.,Crime Heads,Total number of persons in custody during the stage of investigation,Number of Persons in custody or on bail during the stage of investigation at the end of the year,Persons in whose cases chargesheets were laid during the year,Percentage of persons in custody or on bail during the stage of investigation pending at the end of the year to total persons in custody during the stage of investigation,Percentage of persons in whose cases chargesheets were laid to total persons under custody during the stage of investigation
1,Arms Act,36259,4885,30856,13.47,85.1
2,Opium Act,15330,3349,11851,21.85,77.31
3,Gambling Act,353785,18609,334607,5.26,94.58
4,Excise Act,159672,28860,127907,18.07,8.11
5,Prohibition Act,373695,214844,152453,57.49,40.79
6,Explosives & Explosive Substances Act,3014,1026,1627,34.04,53.98
7,Suppression of Immoral Traffic in Women & Girls Act,12831,352,12440,2.74,96.95
8,Motor Vehicles Act,683693,19445,663409,2.84,97.03
9,Prevention of Corruption Act,528,207,287,39.2,54.36
10,Customs Act,483,25,446,5.18,92.34
11,Indian Railways Act,32712,352,32170,1.08,98.34
12,Other Offences Under Local and Special Laws Act,1367586,21146,1337108,1.55,97.77
13,Total,3039588,313100,2705161,10.3,88.99
