SI.No.,Crime Head,Male,Female,Total,Precentage to total Male,Precentage to total Female
1,Murder,77590,3168,80758,96.1,3.9
2,Attempt to Commit Murder,72443,1534,73977,97.9,2.1
3,C.H. Not Amounting To Murder,7725,332,8057,95.9,4.1
4,Rape,19336,287,19623,98.5,1.5
5,Kidnapping & Abduction,24881,2770,27651,90,10
5,I)of Women & Girls,15209,2610,17819,85.4,14.6
5,II)of Others,9672,160,9832,98.4,1.6
6,Dacoity,24546,96,24642,99.6,0.4
7,Preparation & Assembly for Dacoity,4361,29,4390,99.3,0.7
8,Robbery,28898,177,29075,99.4,0.6
9,Burglary,74232,1187,75419,98.4,1.6
10,Theft,175134,4424,179558,97.5,2.5
11,Riots,455925,23242,479167,95.1,4.9
12,Criminal Breach of Trust,15584,271,15855,98.3,1.7
13,Cheating,30146,952,31098,96.9,3.1
14,Counterfeiting,705,12,717,98.3,1.7
15,Arson,15152,243,15395,98.4,1.6
16,Hurt/Grievous,408025,20697,428722,95.2,4.8
17,Dowry Deaths,11456,3383,14839,77.2,22.8
18,Molestation,36179,348,36527,99,1
19,Sexual Harassment,6935,92,7027,98.7,1.3
20,Cruelty by Husband and Relatives,65381,16573,81954,79.8,20.2
21,Other IPC Crimes,911335,42460,953795,95.5,4.5
22,Total Cognizable Crimes Under IPC,2465969,122277,2588246,95.3,4.7
