SL. No.,Crime Head,Male,Female,Total,Percentage of total - Male,Percentage of total - Female
1,Arms Act,69367,61,69428,99.9,0.1
2,Narcotic Drugs & Psychotropic Substances Act,22393,1006,23399,95.7,4.3
3,Gambling Act,276564,243,276807,99.9,0.1
4,Excise Act,149508,7642,157150,95.1,4.9
5,Prohibition Act,491622,135182,626804,78.4,21.6
6,Explosive & Explosive Substances Act,5769,61,5830,99,1
7,Immoral Traffic (P) Act,1350,8922,10272,13.1,86.9
8,Indian Railways Act,38754,576,39330,98.5,1.5
9,Registration of Foreigners Act,1886,237,2123,88.8,11.2
10,Protection of Civil Rights Act,3287,117,3404,96.6,3.4
11,Indian Passport Act,1348,28,1376,98,2
12,Essential Commodities Act,6454,30,6484,99,0.5
13,Terrorist & Disruptive Actvites Act,324,0,324,100,0
14,Antiquity & Art Treasure Act,38,0,38,100,0
15,Dowry Prohibition Act,5765,1358,7123,80.9,19.1
16,Child Marriage Restraint Act,223,102,328,68,32
17,Indecent Representation of Women (P)Act,246,6,252,97.6,2.4
18,Copy Rights Act,905,4,909,99.6,0.4
19,Sati Prevention Act,0,0,0,0,0
20,SC/ST (Prevention of Atrocities ) Act,31391,761,32152,97.6,2.4
21,Forest Act,10199,31,10230,99.7,0.3
22,Other SLL Crimes,3413445,49161,3462606,98.6,1.4
23,Total Cognizable Crimes Under SLL,4530838,205531,4736369,95.7,4.3
