SL. No.,Crime Head,1986,Note of 1986,1991,Note of 1991,1992,Note of 1992,1993,Note of 1993,1994,Note of 1994,1995,Quinquennial Avg. (Q.A.) - (1991-1995),1996,Percentage change in 1996** - [(+) Increase (-) Decrease] Over 1986,Percentage change in 1996** - [(+) Increase (-) Decrease] Over Quinquennial Avg (Q.A.),Percentage change in 1996** - [(+) Increase (-) Decrease] Over 1995
1,Murder,1241,NA,348,NA,292,NA,297,NA,288,NA,253,296,270,-78.2,-8.7,6.7
2,Attempt to Commit Murder,NA,*,171,NA,177,NA,182,NA,166,NA,208,181,202,NA,11.7,-2.9
3,C.H. Not Amounting To Murder,118,NA,24,NA,19,NA,15,NA,19,NA,23,20,21,-82.2,5,-8.7
4,Rape,638,NA,189,NA,158,NA,168,NA,176,NA,174,173,157,-75.4,-9.2,-9.8
5,Kidnapping & Abduction,607,NA,141,NA,79,NA,184,NA,95,NA,152,130,132,-78.3,1.4,-13.2
5,I)of Women & Girls,NA,*,133,NA,62,NA,140,NA,51,NA,66,90,43,NA,-52.4,-34.8
5,II)of Others,NA,*,8,NA,17,NA,44,NA,44,NA,86,40,89,NA,123.6,3.5
6,Dacoity,415,NA,52,NA,51,NA,51,NA,32,NA,56,48,44,-89.4,-9.1,-21.4
7,Preparation & Assembly for Dacoity,NA,*,9,NA,2,NA,5,NA,23,NA,3,8,0,NA,-100,-100
8,Robbery,755,NA,164,NA,87,NA,98,NA,49,NA,76,95,87,-88.5,-8.2,14.5
9,Burglary,5042,NA,1553,NA,1464,NA,1138,NA,1294,NA,1285,1347,1315,-73.9,-2.4,2.3
10,Theft,11873,NA,4638,NA,3203,NA,2404,NA,2346,NA,2835,3085,2356,-80.2,-23.6,-16.9
11,Riots,6303,NA,1270,NA,906,NA,1023,NA,637,NA,955,958,856,-86.4,-10.7,-10.4
12,Criminal Breach of Trust,228,NA,21,NA,21,NA,15,NA,17,NA,33,21,18,-92.1,-15.9,-45.5
13,Cheating,252,NA,47,NA,46,NA,63,NA,24,NA,54,47,60,-76.2,28.2,11.1
14,Counterfeiting,5,NA,2,NA,0,NA,1,NA,3,NA,1,1,0,-100,-100,-100
15,Arson,NA,*,NA,*,NA,*,NA,*,NA,*,8,NA,33,NA,NA,312.5
16,Hurt/ Grievous Hurt,NA,*,NA,*,NA,*,NA,*,NA,*,791,NA,1395,NA,NA,76.4
17,Dowry Death,NA,*,NA,*,NA,*,NA,*,NA,*,27,NA,42,NA,NA,55.6
18,Molestation,NA,*,NA,*,NA,*,NA,*,NA,*,86,NA,117,NA,NA,36
19,Sexual Harassment,NA,*,NA,*,NA,*,NA,*,NA,*,27,NA,13,NA,NA,-51.9
20,Cruelty by Husband and Relatives,NA,*,NA,*,NA,*,NA,*,NA,*,192,NA,166,NA,NA,-13.5
21,Other IPC Crimes,28410,NA,3959,NA,4595,NA,3821,NA,3392,NA,2527,3659,2740,-90.4,-25.1,8.4
22,Total Cognizable Crimes Under IPC,55887,NA,12588,NA,11100,NA,9465,NA,8561,NA,9766,10296,10024,-82.1,-2.6,2.6
