SI.No.,Year,Estimated Mid-Year Population*(In Lakhs)**,Incidence - IPC,Incidence - SLL,Incidence - Total,Rate - IPC,Rate -SLL,Rate - Total,Percentage of IPC Crimes to Total Cognizable Crimes
1,1986,7661,1405835,2984654,4390489,183.5,389.6,573.1,32
2,1987,7814,1406992,3589326,4996318,180.1,459.3,639.4,28.2
3,1988,7966,1440356,3765669,5206025,180.8,472.7,653.5,27.7
4,1989,8118,1529844,3847665,5377509,188.5,474,662.4,28.4
5,1990,8270,1604449,3293563,4898012,194,398.3,592.3,32.8
6,1991,8496,1678375,3370971,5049346,197.5,396.8,594.3,33.2
7,1992,8677,1689341,3558448,5247789,194.7,410.1,604.8,32.2
8,1993,8838,1629936,3803638,5433574,184.4,430.4,614.8,30
9,1994,9000,1635251,3876994,5512245,181.7,430.8,612.5,29.7
10,1995,9160,1695696,4297476,5993172,185.1,469.2,654.3,28.3
11,1996,9319,1709576,4586986,6296562,183.4,492.2,675.6,27.2
12,Percentage Change in 1996 Over 1986,21.6,21.6,53.7,43.4,-0.1,26.3,17.9,-15
13,Compound Growth Rate Per Annum,2,2.1,2.8,2.6,0.1,0.7,0.5,-0.5
