SL.No.,State/UT,Incidence of Total Cognizable Crimes,Percentage Contribution to All-India Total,Estimated Mid-year Population (In Lakhs),Rate of Total Cog. Crimes,Rank of* Criminality (On Rate),Rank* on Percentage Contribution
1,Andhra Pradesh,252,5.1,728.8,0.3,11,6
2,Arunachal Pradesh,5,0.1,9.9,0.5,7,14
3,Assam,0,0,251.1,0,32,32
4,Bihar,190,3.8,968.7,0.2,13,7
5,Goa,0,0,13,0,32,32
6,Gujarat,369,7.4,453.8,0.8,4,3
7,Haryana,1,0,184.3,0,18,19
8,Himachal Pradesh,3,0.1,57.2,0.1,16,15
9,Jammu & Kashmir,6,0.1,86.9,0.1,15,13
10,Karnataka,180,3.6,487.3,0.4,10,8
11,Kerala,122,2.5,313.2,0.4,8,10
12,Madhya Pradesh,1466,29.5,734.9,2,3,1
13,Maharashtra,337,6.8,875.5,0.4,9,4
14,Manipur,0,0,20.8,0,32,32
15,Meghalaya,1,0,20.1,0,17,19
16,Mizoram,0,0,8.1,0,32,32
17,Nagaland,0,0,14.3,0,32,32
18,Orissa,179,3.6,348.7,0.5,6,9
19,Punjab,1,0,219.2,0,19,19
20,Rajasthan,1393,28,491.4,2.8,2,2
21,Sikkim,46,0.9,4.8,9.6,1,12
22,Tamil Nadu,85,1.7,588.3,0.1,14,11
23,Tripura,0,0,31.2,0,32,32
24,Uttar Pradesh,336,6.8,1526.2,0.2,12,5
25,West Bengal,0,0,744.3,0,32,32
Total (States),Total (States),4972,100,9182,0.5,NA,NA
26,A & N Islands,0,0,3.4,0,32,32
27,Chandigarh,0,0,8.1,0,32,32
28,D & N Haveli,1,0,1.6,0.6,5,19
29,Daman & Diu,0,0,1.1,0,32,32
30,Delhi,0,0,113.6,0,32,32
31,Lakshadweep,0,0,0.6,0,32,32
32,Pondicherry,0,0,9,0,32,32
Total (UTs),Total (UTs),1,0,137.4,0,NA,NA
Total (All-India),Total (All-India),4973,100,9319.4,0.5,NA,NA
