SL. No.,State/UT,Rape***(Below 16 Years) - Incidence (I),Rape***(Below 16 Years) - Percentage Contribution to All-India (P),Infanticide - Incidence (I),Infanticide - Percentage Contribution to All-India (P),Foeticide - Incidence (I),Foeticide - Percentage Contribution to All-India (P),Abetment of suicide - Incidence (I),Abetment of suicide - Percentage Contribution to All-India (P),Exposure & Abandonment - Incidence (I),Exposure & Abandonment - Percentage Contribution to All-India (P),Kidnapping & Abduction - Incidence (I),Kidnapping & Abduction - Percentage Contribution to All-India (P),Procuration of Minor Girls - Incidence (I),Procuration of Minor Girls - Percentage Contribution to All-India (P),Selling of Girls for Prostitution - Incidence (I),Selling of Girls for Prostitution - Percentage Contribution to All-India (P),Buying of Girls for Prostitution - Incidence (I),Buying of Girls for Prostitution - Percentage Contribution to All-India (P),Child Marriage Restraint act*** - Incidence (I),Child Marriage Restraint act*** - Percentage Contribution to All-India (P),Total - Incidence (I),Total - Percentage Contribution to All-India (P)
1,Andhra Pradesh,269,6.6,2,1.8,0,0,1,9.1,0,0,38,6.7,3,3.2,0,0,0,0,1,1.1,314,5.6
2,Arunachal Pradesh,14,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0.3
3,Assam,147,3.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.1,148,2.7
4,Bihar,217,5.3,7,6.2,5,12.8,1,9.1,2,0.4,89,15.6,27,28.7,0,0,0,0,0,0,348,6.2
5,Goa,5,0.1,0,0,0,0,0,0,0,0,1,0.2,0,0,0,0,0,0,0,0,6,0.1
6,Gujarat,117,2.9,10,8.8,6,15.4,0,0,92,16.6,104,18.2,8,8.5,0,0,0,0,60,67.4,397,7.1
7,Haryana,127,3.1,0,0,2,5.1,0,0,7,1.3,5,0.9,2,2.1,0,0,0,0,0,0,143,2.6
8,Himachal Pradesh,52,1.3,0,0,0,0,0,0,4,0.7,4,0.7,0,0,0,0,0,0,4,4.5,64,1.1
9,Jammu & Kashmir,20,0.5,0,0,0,0,0,0,1,0.2,0,0,0,0,0,0,0,0,0,0,21,0.4
10,Karnataka,88,2.2,2,1.8,0,0,0,0,7,1.3,35,6.1,3,3.2,0,0,0,0,0,0,136,2.4
11,Kerala,135,3.3,0,0,0,0,0,0,4,0.7,12,2.1,4,4.3,0,0,1,4.5,4,4.5,160,2.9
12,Madhya Pradesh,893,21.9,33,29.2,13,33.3,7,63.6,93,16.8,59,10.3,11,11.7,0,0,1,4.5,3,3.4,1112,19.9
13,Maharashtra,453,11.1,43,38.1,12,30.8,0,0,288,52,65,11.4,24,25.5,0,0,0,0,4,4.5,906,16.2
14,Manipur,7,0.2,1,0.9,0,0,0,0,0,0,0,0,0,0,0,0,17,77.3,0,0,8,0.1
15,Meghalaya,10,0.2,0,0,0,0,0,0,0,0,1,0.2,0,0,0,0,0,0,0,0,11,0.2
16,Mizoram,29,0.7,0,0,0,0,0,0,0,0,1,0.2,0,0,0,0,0,0,0,0,30,0.5
17,Nagaland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Orissa,83,2,1,0.9,0,2.6,0,0,1,0.2,13,2.3,3,3.2,0,0,0,0,0,0,101,1.8
19,Punjab,106,2.6,0,0,1,0,0,0,6,1.1,4,0.7,0,0,0,0,0,0,1,1.1,118,2.1
20,Rajasthan,118,2.9,14,12.4,0,0,0,0,28,5.1,6,1.1,0,0,2,33.3,0,0,9,10.1,177,3.2
21,Sikkim,4,0.1,0,0,0,0,0,0,1,0.2,0,0,0,0,0,0,0,0,0,0,5,0.1
22,Tamil Nadu,107,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2.2,109,2
23,Tripura,20,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0.4
24,Uttar Pradesh,535,13.1,0,0,0,0,2,18.2,0,0,47,8.2,0,0,0,0,0,0,0,0,584,10.5
25,West Bengal,251,6.1,0,0,0,0,0,0,0,0,78,13.7,9,9.6,4,66.7,3,13.6,0,0,345,6.2
Total (States),Total (States),3807,93.2,113,100,39,100,11,100,534,96.4,562,98.4,94,100,6,100,22,100,89,100,5277,94.5
26,A & N Islands,4,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.1
27,Chandigarh,1,0,0,0,0,0,0,0,4,0.7,0,0,0,0,0,0,0,0,0,0,5,0.1
28,D & N Haveli,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,Daman & Diu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Delhi,269,6.6,0,0,0,0,0,0,16,2.9,8,1.4,0,0,0,0,0,0,0,0,293,5.2
31,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Pondicherry,2,0,0,0,0,0,0,0,0,0,1,0.2,0,0,0,0,0,0,0,0,3,0.1
Total (UTs),Total (UTs),276,6.8,0,0,0,0,0,0,20,3.6,9,1.6,0,0,0,0,0,0,0,0,305,5.5
Total (All-India),Total (All-India),4083,100,113,100,39,100,11,100,554,100,571,100,94,100,6,100,22,100,89,100,5582,100
