SL.No.,State/UT,Murder - Incidence (I),Murder - Rate (R),Murder - Percentage Contribution to All-India (P),Hurt - Incidence (I),Hurt - Rate (R),Hurt - Percentage Contribution to All-India (P),Rape - Incidence (I),Rape - Rate (R),Rape - Percentage Contribution to All-India (P),Kidnapping & Abduction - Incidence (I),Kidnapping & Abduction - Rate (R),Kidnapping & Abduction - Percentage Contribution to All-India (P),Dacoity - Incidence (I),Dacoity - Rate (R),Dacoity - Percentage Contribution to All-India (P),Robbery - Incidence (I),Robbery - Rate (R),Robbery - Percentage Contribution to All-India (P),Arson - Incidence (I),Arson - Rate (R),Arson - Percentage Contribution to All-India (P),Protection of Civil Rights Act - Incidence (I),Protection of Civil Rights Act - Rate (R),Protection of Civil Rights Act - Percentage Contribution to All-India (P),SC & ST (Prev.of Atrocities) Act - Incidence (I),SC & ST (Prev.of Atrocities) Act - Rate (R),SC & ST (Prev.of Atrocities) Act - Percentage Contribution to All-India (P),Others Offences - Incidence (I),Others Offences - Rate (R),Others Offences - Percentage Contribution to All-India (P),Total - Incidence (I),Total - Rate (R),Total - Percentage Contribution to All-India (P)
1,Andhra Pradesh,21,0,3.9,318,0.4,6.9,50,0.1,5.3,10,0,3.6,1,0,1.1,1,0,0.5,6,0,1.3,279,0.4,19.7,504,0.7,5.2,439,0.6,3.3,1629,2.2,5.2
2,Arunachal Pradesh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Assam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Bihar,19,0,3.5,276,0.3,6,27,0,2.8,26,0,9.3,35,0,38.9,14,0,6.6,23,0,5,0,0,0,137,0.1,1.4,253,0.3,1.9,810,0.8,2.6
5,Goa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.1,0,0,0,0,1,0.1,0
6,Gujarat,22,0,4.1,206,0.5,4.5,15,0,1.6,15,0,5.3,5,0,5.6,10,0,4.7,14,0,3,129,0.3,9.1,573,1.3,6,775,1.7,5.8,1764,3.9,5.6
7,Haryana,5,0,0.9,8,0,0.2,11,0.1,1.2,7,0,2.5,0,0,0,2,0,0.9,0,0,0,3,0,0.2,2,0,0,25,0.1,0.2,63,0.3,0.2
8,Himachal Pradesh,0,0,0,3,0.1,0.1,11,0.2,1.2,0,0,0,0,0,0,0,0,0,0,0,0,8,0.1,0.6,24,0.4,0.2,20,0.3,0.2,66,1.2,0.2
9,Jammu & Kashmir,1,0,0.2,3,0,0.1,0,0,0,1,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0.1,0.1,17,0.2,0.1
10,Karnataka,8,0,1.5,35,0.1,0.8,6,0,0.6,0,0,0,0,0,0,0,0,0,4,0,0.9,211,0.4,14.9,811,1.7,8.4,14,0,0.1,1089,2.2,3.5
