SI.No.,Crime Head,1995,1996,Percentage variation in 1996 over 1995,Percentage share of crime during 1996
1,Murder,82788,80758,-2.5,3.1
2,Attempt to Commit Murder,77932,73977,-5.1,2.9
3,C.H. Not Amounting To Murder,8063,8057,-0.1,0.3
4,Rape,18848,19623,4.1,0.8
5,Kidnapping & Abduction,26997,27651,2.4,1.1
5,I)of Women & Girls,17306,17819,3,0.7
5,II)of Others,9691,9832,1.5,0.4
6,Dacoity,25616,24642,-3.8,1
7,Preparation & Assembly for Dacoity,5200,4390,-15.6,0.2
8,Robbery,29045,29075,0.1,1.1
9,Burglary,76069,75419,-0.9,2.9
10,Theft,181287,179558,-1,6.9
11,Riots,512492,479167,-6.5,18.5
12,Criminal Breach of Trust,14807,15855,7.1,0.6
13,Cheating,27726,31098,12.2,1.2
14,Counterfeiting,868,717,-17.4,0
15,Arson,14010,15395,9.9,0.6
16,Hurt/Grievous Hurt,357425,428722,19.9,16.6
17,Dowry Deaths,12846,14839,15.5,0.6
18,Molestation,32380,36527,12.8,1.4
19,Sexual Harassment,5894,7027,19.2,0.3
20,Cruelty by Husband and Relatives,62899,81954,30.3,3.2
21,Other IPC Crimes,1014547,953795,-6,36.9
22,Total Cognizable Crimes Under IPC,2587739,2588246,0,100
