SI.No.,Crime Head,1986 - Incidence,Note of 1986 - Incidence,1986 - Rate,1991 - Incidence,Note of 1991 - Incidence,1991 - Rate,1992 - Incidence,Note of 1992 - Incidence,1992 - Rate,1993 - Incidence,Note of 1993 - Incidence,1993 - Rate,1994 - Incidence,Note of 1994 - Incidence,1994 - Rate,1995 - Incidence,1995 - Rate,Quinquenial Avg. (Q.A) - (1991-1995) - Incidence,Note of Quinquenial Avg. (Q.A) - (1991-1995) - Incidence,Quinquenial (1991-1995) - Avg Rate,1996 - Incidence,1996 - Rate,Percentage Change In 1996 [(+)Increase /(-) Decrease] Over 1988,Percentage Change In 1996 [(+)Increase /(-) Decrease] Over Quinquenial Avg.(Q.A.),Percentage Change In 1996[(+)Increase /(-) Decrease] Over 1995
1,Murder,27269,NA,3.6,39174,NA,4.6,40105,NA,4.6,38240,NA,4.3,38577,NA,4.3,37464,4.1,38712,NA,4.4,37671,4,38.1,-2.7,0.6
2,Attempt to Commit Murder,NA,*,NA,29778,NA,3.5,31202,NA,3.6,29725,NA,3.4,30020,NA,3.3,29571,3.2,30059,NA,3.4,29597,3.2,NA,-1.5,0.1
3,C.H. Not Amounting To Murder,4195,NA,0.5,4243,NA,0.5,4621,NA,0.5,3890,NA,0.4,3946,NA,0.4,3830,0.4,4106,NA,0.5,3728,0.4,-11.1,-9.2,-2.7
4,Rape,7952,NA,1,10410,NA,1.2,11708,NA,1.3,12218,NA,1.4,13208,NA,1.5,13754,1.5,12260,NA,1.4,14846,1.6,86.7,21.1,7.9
5,Kidnapping & Abduction,15667,NA,2,20079,NA,2.4,20518,NA,2.4,19830,NA,2.2,20983,NA,2.3,20426,2.2,20367,NA,2.3,20848,2.2,33.1,2.4,2.1
5,I)of Women & Girls,NA,*,NA,14283,NA,1.7,13996,NA,1.6,14058,NA,1.6,14075,NA,1.6,14063,1.5,14095,NA,1.6,14877,1.6,0,5.5,5.8
5,II)of Others,NA,*,NA,5796,NA,0.7,6522,NA,0.8,5772,NA,0.7,6908,NA,0.8,6363,0.7,6272,NA,0.7,5971,0.6,0,-4.8,-6.2
6,Dacoity,10444,NA,1.4,10831,NA,1.3,11308,NA,1.3,9357,NA,1.1,9271,NA,1,8335,0.9,9820,NA,1.1,8035,0.9,-23.1,-18.2,-3.6
7,Preparation & Assembly for Dacoity,NA,*,NA,1393,NA,0.2,1297,NA,0.1,1102,NA,0.1,946,NA,0.1,961,0.1,1140,NA,0.1,888,0.1,0,-22.1,-7.6
8,Robbery,22395,NA,2.9,26428,NA,3.1,26444,NA,3,24354,NA,2.8,23933,NA,2.7,22443,2.5,24720,NA,2.8,22705,2.4,1.4,-8.2,1.2
9,Burglary,128946,NA,16.8,132087,NA,15.5,127281,NA,14.7,123020,NA,13.9,121536,NA,13.5,116507,12.7,124086,NA,14,115097,12.4,-10.7,-7.2,-1.2
10,Theft,323533,NA,42.2,362928,NA,42.7,350582,NA,40.4,320434,NA,36.3,303564,NA,33.7,294306,32.1,326363,NA,36.9,284985,30.6,-11.9,-12.7,-3.2
11,Riots,94197,NA,12.3,105309,NA,12.4,104749,NA,12.1,93838,NA,10.6,94344,NA,10.5,96520,10.5,98952,NA,11.2,92831,10,-1.5,-6.2,-3.8
12,Criminal Breach of Trust,19021,NA,2.5,17495,NA,2.1,17295,NA,2.1,17039,NA,1.9,16523,NA,1.8,15503,1.7,16897,NA,1.9,15368,1.6,-19.2,-9,-0.9
13,Cheating,22579,NA,2.9,27466,NA,3.2,29397,NA,3.4,30079,NA,3.4,31207,NA,3.5,30678,3.3,29765,NA,3.4,33823,3.6,49.8,13.6,10.3
14,Counterfeiting,1687,NA,0.2,4467,NA,0.5,5133,NA,0.6,3728,NA,0.4,2851,NA,0.3,2203,0.2,3676,NA,0.4,2796,0.3,65.7,-23.9,26.9
15,Arson,NA,*,NA,NA,*,NA,NA,*,NA,NA,*,NA,NA,*,NA,12028,1.3,NA,*,NA,12425,1.3,NA,NA,3.3
16,Hurt/Grievous Hurt,NA,*,NA,NA,*,NA,NA,*,NA,NA,*,NA,NA,*,NA,203812,22.3,NA,*,NA,223977,24,NA,NA,9.9
17,Dowry Deaths,NA,*,NA,NA,*,NA,NA,*,NA,NA,*,NA,NA,*,NA,4648,0.5,NA,*,NA,5513,0.6,NA,NA,18.6
18,Molestation,NA,*,NA,NA,*,NA,NA,*,NA,NA,*,NA,NA,*,NA,26856,2.9,NA,*,NA,28939,3.1,NA,NA,7.8
19,Sexual Harassment,NA,*,NA,NA,*,NA,NA,*,NA,NA,*,NA,NA,*,NA,4689,0.5,NA,*,NA,5671,0.6,NA,NA,20.9
20,Cruelty by Husband and Relatives,NA,*,NA,NA,*,NA,NA,*,NA,NA,*,NA,NA,*,NA,28579,3.1,NA,*,NA,35246,3.8,NA,NA,23.3
21,Other IPC Crimes,727950,NA,95,886287,NA,104.3,907071,NA,104.5,903082,NA,102.2,924342,NA,102.7,722583,78.9,868673,NA,98.3,714587,76.7,-1.8,-17.7,-1.1
22,Total Cognizable Crimes Under IPC,1405835,NA,183.5,1678375,NA,197.5,1689341,NA,194.7,1629936,NA,184.4,1635251,NA,181.7,1695696,185.1,1665720,NA,188.6,1709576,183.4,21.6,2.6,0.8
