SL. No.,State/ UT,Incidence of Total Cognizable Crimes,Percentage Contribution to All-India Total,Estimated Mid-Year Population (In Lakhs),Rate of Total Cognizable Crimes,Rank of* Criminality (On Rate)
1,Andhra Pradesh,9607,8.3,728.8,13.2,9
2,Arunachal Pradesh,106,0.1,9.9,10.7,17
3,Assam,2793,2.4,251.1,11.1,15
4,Bihar,5349,4.6,968.7,5.5,25
5,Goa,82,0.1,13,6.3,24
6,Gujarat,5139,4.4,453.8,11.3,14
7,Haryana,2335,2,184.3,12.7,12
8,Himachal Pradesh,803,0.7,57.2,14,6
9,Jammu & Kashmir,1210,1,86.9,13.9,7
10,Karnataka,5379,4.6,487.3,11,16
11,Kerala,2916,2.5,313.2,9.3,19
12,Madhya Pradesh,14959,12.9,734.9,20.4,3
13,Maharashtra,16567,14.3,875.5,18.9,4
14,Manipur,94,0.1,20.8,4.5,27
15,Meghalaya,72,0.1,20.1,3.6,29
16,Mizoram,104,0.1,8.1,12.8,11
17,Nagaland,43,0,14.3,3,30
18,Orissa,4163,3.6,348.7,11.9,13
19,Punjab,910,0.8,219.2,4.2,28
20,Rajasthan,10575,9.1,491.4,21.5,2
21,Sikkim,65,0.1,4.8,13.5,8
22,Tamil Nadu,9232,8,588.3,15.7,5
23,Tripura,313,0.3,31.2,10,18
24,Uttar Pradesh,13614,11.8,1526.2,8.9,20
25,West Bengal,6453,5.6,744.3,8.7,21
Total (States),Total (States),112883,97.5,9182,12.3,NA
26,A & N Islands,25,0,3.4,7.4,23
27,Chandigarh,70,0.1,8.1,8.6,22
28,D & N Haveli,21,0,1.6,13.1,10
29,Daman & Diu,3,0,1.1,2.7,31
30,Delhi,2673,2.3,113.6,23.5,1
31,Lakshadweep,0,0,0.6,0,32
32,Pondicherry,48,0,9,5.3,26
Total (UTs),Total (UTs),2840,2.5,137.4,20.7,NA
Total (All -India),Total (All -India),115723,100,9319.4,12.4,NA
