SL. No,Crime Head,1995,1996,Percentage variation in 1996 over 1995,Percentage share of crime during 1996
1,Arms Act,66747,69428,4,1.5
2,Narcotic Drugs & Psychotropic Substances Act,22222,23399,5.3,0.5
3,Gambling Act,284599,276807,-2.7,5.8
4,Excise Act,127463,157150,23.3,3.3
5,Prohibition Act,650788,626804,-3.7,13.2
6,Explosive & Explosive Substances Act,5874,5830,-0.7,0.1
7,Immoral Traffic (P) Act,11550,10272,-11.1,0.2
8,Indian Railways Act,35977,39330,9.3,0.8
9,Registration of Foreigners Act,2607,2123,-18.6,0
10,Protection of Civil Rights Act,7747,3404,-56.1,0.1
11,Indian Passport Act,1233,1376,11.6,0
12,Essential Commodities Act,6060,6484,7,0.1
13,Terrorist & Disruptive Actvites Act,1280,324,-74.1,0
14,Antiquity & Art Treasure Act,81,38,-53.1,0
15,Dowry Prohibition Act,7432,7123,-4.2,0.2
16,Child Marriage Restraint Act,115,328,185.2,0
17,Indecent Representation of Women (P)Act,566,252,-55.5,0
18,Copy Rights Act,957,909,-5,0
19,Sati Prevention Act,0,0,0,0
20,SC/ST (Prevention of Atrocities ) Act,33716,32152,-4.6,0.7
21,Forest Act,8755,10230,16.8,0.2
22,Other SLL Crimes,3365543,3462606,2.9,73.1
23,Total Cognizable Crimes Under SLL,4641312,4736369,2,100
