SI.No.,Crime Head,Percentage of cases to Total Cases for Investigation in which - Investigation was Refused,Percentage of Cases to Total Cases for investigation in which - Investigation was Completed - Charge Found False /Mistake of Fact or Law Etc.,Percentage of Cases to Total Cases for Investigation in which - Investigation was Completed - Final Report True Submitted,Percentage of Cases to Total Cases for Investigation in which - Investigation was Completed - Chargesheets were Laid.,Percentage of Cases to Total Cases for investigation in which - Investgation was Completed - Total [Col. 4+5+6],Percentage of Cases Pending Investigation,Chargesheeting Rate [(Col. 6)/(Col. 5+6)]*100)
1,Murder,0.2,2.2,11.9,50.7,64.8,35,81
2,Attempt to Commit Murder,0.1,3,7.7,61.2,72,27.9,88.8
3,C.H. Not Amounting To Murder,0.1,2.5,10.1,49.2,61.8,38.1,83
4,Rape,0.1,5,4.2,63.4,72.5,27.4,93.8
5,Kidnapping & Abduction,0.3,15,11.4,36.3,62.7,37,76.1
5,I)of Women & Girls,0.3,16.2,10.8,37.1,64,35.7,77.5
5,II)of others,0.4,12.3,12.9,34.5,59.6,40,72.7
6,Dacoity,0.2,2.9,19.4,29.6,51.9,48,60.4
7,Preparation & Assembly for Dacoity,0.1,0.8,6.1,51.7,58.6,41.3,89.4
8,Robbery,0.2,6.1,24.9,36.1,67.1,32.7,59.1
9,Burglary,0.3,3.3,44.9,27.3,75.6,24.1,37.8
10,Theft,0.3,3.6,42.7,29.7,76.1,23.5,41
11,Riots,0.2,10.2,6.6,61.1,77.8,21.9,90.3
12,Criminal Breach of Trust,0.6,9.5,13.4,35.6,58.4,41,72.7
13,Cheating,0.8,14.3,12.7,32.3,59.3,39.9,71.9
14,Counterfeiting,0.7,1.9,22.7,11.3,35.9,63.4,33.2
15,Arson,0.8,9.2,22.1,42.7,74.1,25.1,65.39
16,Hurt,0.3,3.4,4.4,78.6,86.4,13.3,94.7
17,Dowry Deaths,1.4,4.3,3.3,69.9,77.5,21.2,95.5
18,Molestation,0.2,5,3.3,78.8,87.1,12.8,96
19,Sexual Harassment,0,0.8,2.3,91,94.1,5.9,97.5
20,Cruelty by Husband and Relatives,0.6,8.6,3.8,71,83.4,16,94.9
21,Other IPC Crimes,0.5,5.1,8.4,66.1,79.6,19.8,88.7
22,Total Cognizable Crimes Under IPC,0.4,5.2,16.7,55.6,77.5,22.1,76.9
