SL. No.,Crime Head,Total No. of Persons Under Trial Including those from Previous year,No. of Persons whose - Cases Compounded or Withdrawn,No. of Persons whose - Trial Completed,No. of Persons whose - Trial Remained Pending,No. of Persons Convicted,Percentage of Persons - whose Trials Remained Pending [Col. 6*100/Col.3],Percentage of Persons - Convicted to Trials Completed [Col. 7*100/Col. 5]
1,Arms Act,275092,599,53902,220591,33118,80.2,61.4
2,Narcotic Drugs & Psychotropic Substances Act,98727,951,16081,81695,7198,82.7,44.8
3,Gambling Act,815015,14471,279290,521254,206134,64,73.8
4,Excise Act,344152,1613,95930,246582,69040,71.7,72
5,Prohibition Act,1978805,57846,461193,1459766,264165,73.8,57.3
6,Explosive & Explosive Substances Act,27400,165,3911,23324,1628,85.1,41.6
7,Immoral Traffic (Prevention) Act,21895,1235,9886,10774,7949,49.2,80.4
8,Indian Railways Act,69054,154,42812,26088,39743,37.8,92.8
9,Registration of Foreigners Act,4527,261,1492,2774,1184,61.3,79.4
10,Protection Of Civil Rights Act,28361,708,6696,20957,1443,73.9,21.6
11,Indian Passport Act,3830,32,1207,2591,1085,67.7,89.9
12,Essential Commodities Act,35742,194,5002,30546,1355,85.5,27.1
13,Terrorist & Disruptive Actvites Act,6979,27,513,6439,48,92.3,9.4
14,Antiquity & Art Treasure Act,178,1,13,164,3,92.1,23.1
15,Dowry Prohibition Act,22943,722,4646,17575,1314,76.6,28.3
16,Child Marriage Restraint Act,1017,0,163,854,83,84,50.9
17,Indecent Representation of Women (P)Act,1229,7,138,1084,60,88.2,43.5
18,Copy Right Act,4823,38,556,4229,145,87.7,26.1
19,Sati Prevention Act,3,0,0,3,0,100,0
20,SC/ST (Prevention of Atrocities ) Act,87528,1653,13925,71950,5514,82.2,39.6
21,Forest Act,27022,144,6242,20636,3931,76.4,63
22,Other SLL Crimes,4413637,406453,2764520,1242664,2604525,28.2,94.2
23,Total Cognizable Crimes Under SLL,8267932,487274,3768118,4012540,3249665,48.5,86.2
