SL. No.,Year,7-12 Years,Percentage to Total - 7-12 Years,12-16 Years,Percentage to Total - 12-16 Years,16-18 Years,Percentage to Total - 16-18 Years,18-21 Years,Percentage to Total - 18-21 Years,Over all Age Group
1,1986,5138,3,12163,7.1,23940,14.1,128908,75.8,170149
2,1987,5279,2.9,10387,5.8,22209,12.3,142087,79,179962
3,1988,3446,9,31098,81.5,3624,9.5,NA,NA,38168
4,1989,4812,13.2,21028,57.8,10552,29,NA,NA,36392
5,1990,3681,11.9,23580,76.5,3555,11.5,NA,NA,30816
6,1991,5837,19.7,18887,63.8,4867,16.4,NA,NA,29591
7,1992,3435,16.1,14793,69.3,3130,14.7,NA,NA,21358
8,1993,3929,19.6,13437,67,2701,13.5,NA,NA,20067
9,1994,3694,21.5,11053,64.3,2456,14.3,NA,NA,17203
10,1995,3377,18,12013,63.9,3403,18.1,NA,NA,18793
11,1996,3471,18.2,11397,59.7,4230,22.1,NA,NA,19098
Percentage age in 1996 Over 1986,Percentage age in 1996 Over 1986,-32.4,NA,-6.3,NA,NA,NA,NA,NA,-88.8
Percentage age in 1996 Over 1995,Percentage age in 1996 Over 1995,2.8,NA,-5.1,NA,24.3,NA,NA,NA,1.6
