Sl. No.,Crime Head,Percentage of Cases to Total Cases for Trial- Compounded or Withdrawn,Percentage of Cases to Total Cases for in which - Trials were Completed - Convicted,Percentage of Cases to Total Cases for In which - Trials were Completed - Acquitted or Discharged,Percentage of Cases to Total Cases for In which - Trials were Completed - Total [Col. 4+5],Percentage of Cases to Total Cases for Trial - Pending Trial,Conviction Rate [(Col. 4/Col. 6)*100]
1,Arms Act,0.2,12.4,7.7,20.1,79.8,61.6
2,Narcotic Drugs & Psychotropic Substances Act,0.6,7.1,8.5,15.6,83.8,45.6
3,Gambling Act,1.6,31,9.6,40.5,57.8,76.4
4,Excise Act,0.4,21.2,7.5,28.6,71,73.9
5,Prohibition Act,2.9,13.7,11.5,25.1,72,54.4
6,Explosive & Explosive Substances Act,0.2,7.4,6.8,14.3,85.6,52.2
7,Immoral Traffic (P) Act,2.9,54.2,7.1,61.3,35.8,86.4
8,Indian Railways Act,0.3,62.2,3.1,65.4,34.4,95.2
9,Registration of Foreigners Act,0.8,22.9,6,28.9,70.3,79.2
10,Protection Of Civil Rights Act,1.3,5.3,16.9,22.2,76.6,23.9
11,Indian Passport Act,1.2,30.9,10.3,41.2,57.6,75.1
12,Essential Commodities Act,1.4,3.8,9.1,12.8,86.7,29.4
13,Terrorist & Disruptive Actvites Act,1.1,0.9,5.2,6.1,92.8,15.4
14,Antiquity & Art Treasure Act,1.4,1.4,36.5,37.8,60.8,3.6
15,Dowry Prohibition Act,1.8,6.9,12.7,19.6,78.6,35.1
16,Child Marriage Restraint Act,0,8.8,6.2,15,85,58.8
17,Indecent Representation of Women (P)Act,0.2,9.4,10.4,19.8,80,47.6
18,Copy Rights Act,1.3,3.7,8.6,12.3,86.4,29.9
19,Sati Prevention Act,0,0,0,0,100,NA
20,SC/ST (Prevention of Atrocities ) Act,1,5.2,8.4,13.6,85.4,38.1
21,Forest Act,0.7,12.6,8.2,20.7,78.6,60.6
22,Other SLL Crimes,7.8,63.7,3,66.8,25.4,95.5
23,Total Cognizable Crimes Under SLL,5.2,42.7,6.2,49,45.8,87.3
