SL. No.,Crime Head,Number of Cases Reported During - 1995,Number of Cases Reported During - 1996,Percentage Change in 1996 Over 1995
1,Arms Act,56,44,-21.4
2,Narcotic Drugs & Psychotropic Substances Act,26,34,30.8
3,Gambling Act,240,363,51.3
4,Excise Act,182,378,107.7
5,Prohibition Act,732,1282,75.1
6,Explosive & Explosive Substances Act,5,2,-60
7,Immoral Traffic (Prevention) Act,50,104,108
8,Indian Railways Act,7,16,128.6
9,Registration of Foreigners Act,14,1,-92.9
10,Protection Of Civil Rights Act,2,3,50
11,Indian Passport Act,8,8,0
12,Essential Commodities Act,3,1,-66.7
13,Terrorist & Disruptive Actvites Act,0,0,NA
14,Antiquity & Art Treasure Act,0,0,NA
15,Dowry Prohibition Act,29,28,-3.4
16,Child Marriage Restraint Act,0,2,NA
17,Indecent Representation of Women (P)Act,0,0,NA
18,Copy Right Act,0,1,NA
19,Sati Prevention Act,0,0,NA
20,SC/ST (Prevention of Atrocities ) Act,8,18,125
21,Forest Act,0,1,NA
22,Other SLL Crimes,3893,3433,-11.8
23,Total Cognizable Crimes Under SLL,5255,5719,8.8
