Sl. No.,Crime Head,Percentage of Case to total Cases for - Investigation in which - Investigation was Refused,Percentage of Case to Total Cases for - Investigation in which - Investigation was Completed - Charge Found False/ Mistake of Fact Or Law Etc.,Percentage of Case to Total Cases for - Investigation in which - Investigation was Completed - Final Report True Submitted,Percentage of Case to Total Cases for - Investigation in which - Investigation was Completed - Chargesheets were Laid,Percentage of Case to Total Cases for - Investigation in which - Investigation was Completed - Total [Col. 4+5+6],Percentage of Cases Pending Investigation,Charge Sheeting Rate [(Col. 6)/(Col. 5+6) *100]
1,Arms Act,0,0.2,2.8,79.5,82.5,17.5,96.5
2,Narcotic Drugs & Psychotropic Substances Act,0.5,0.3,2.4,59.2,61.9,37.7,96.1
3,Gambling Act,0,0,0.2,97.9,98.1,1.9,99.8
4,Excise Act,0.5,0.2,0.6,73.5,74.3,25.2,99.2
5,Prohibition Act,0.7,0.9,0.5,82.7,84.1,15.3,99.5
6,Explosive & Explosive Substances Act,0.1,1.4,10,49.7,61,38.9,83.3
7,Immoral Traffic (P) Act,0,0.1,0,90.7,90.8,9.1,99.9
8,Indian Railways Act,0.1,0.3,2.9,94.7,97.9,2,97
9,Registration of Foregners Act,0.1,1,1.5,83.1,85.5,14.4,98.2
10,Protection Of Civil Rights Act,1.2,9.5,4.9,59.4,73.7,25,92.4
11,Indian Passport Act,5.9,5.6,2.7,60.4,68.7,25.4,95.7
12,Essential Commodities Act,0.1,2.4,4.2,45.9,52.5,47.4,91.5
13,Terrorist & Disruptive Actvites Act,0,0.6,17.8,9.2,27.6,72.4,34.1
14,Antiquity & Art Treasure Act,0,3.7,15.9,28,47.6,52.4,63.9
15,Dowry Prohibition Act,0.8,3.2,6.3,58.2,67.7,31.5,90.2
16,Child Marriage Restraint Act,1,6.1,1,83.7,90.8,8.2,98.8
17,Indecent Representation of Women (P)Act,0,0.9,1.8,77,79.6,20.4,97.8
18,Copy Rights Act,1.2,0.6,3.7,60.1,64.4,34.3,94.2
19,Sati Prevention Act,0,0,0,0,0,0,NA
20,SC/ST (Prevention of Atrocities ) Act,0.2,17.4,3.9,65,86.3,13.5,94.3
21,Forest Act,2,1.9,4.9,83.8,90.5,7.5,94.5
22,Other SLL Crimes,0.5,0.5,1.1,86.3,87.9,11.6,98.7
23,Total Cognizable Crimes Under SLL,0.5,0.6,1.1,85.1,86.8,12.7,98.7
