Category,SL. No.,State/UT/City,Complaints Received/ Cases Registered - No. of Complaints Received/ Alleged During the Year,Complaints Received/ Cases Registered - No. of Inquiry Instituted - Departmental,Complaints Received/ Cases Registered - No. of Inquiry Instituted - Magisterial,Complaints Received/ Cases Registered - No. of Inquiry Instituted - Judicial,Complaints Received/ Cases Registered - Complaints/ Cases Declared False/ Unsubstantiated,Complaints Received/ Cases Registered - No. of Cases Registered During the Year,Complaints Received/ Cases Registered - No. of Cases - Reported for Regular Deptt. Action,Complaints Received/ Cases Registered - No. of Cases - Sent up Trials/ Chargesheeted,Police Personnel Involved / Action Taken - No. of Police Personnel Sent up for Trial During the Year,Police Personnel Involved / Action Taken - No. of Police Personnel in Whose Cases Withdrawn or Otherwise Disposed of,Police Personnel Involved / Action Taken - No. of Police Personnel in Whose Cases Trial was Completed,Police Personnel Involved / Action Taken - No. of police Personnel - Cinvicted,Police Personnel Involved / Action Taken - No. of police Personnel - Acquitted,Departmental Action/ Punishment - No. of Police Personnel - Against Whom Disciplinary Action Initiated,Departmental Action/ Punishment - No. of Police Personnel - in Whose Cases Withdrawn or Otherwise Disposed of,Departmental Action/ Punishment - No. of Police Personnel - in Whose Cases Trial was Completed,Departmental Action/ Punishment - No. of Police Personnel - Dismissed/ Removed from Service,Departmental Action/ Punishment - No. of Police Personnel - Major Punishment Awarded,Departmental Action/ Punishment - No. of Police Personnel - Minor Punishment Awarded
State,1,Andhra Pradesh,425,385,20,12,25,367,315,103,140,47,4,4,7,1364,184,42,24,49,892
State,2,Arunachal Pradesh,28,21,0,3,0,8,7,3,0,2,0,0,0,7,1,1,0,0,3
State,3,Assam,18,9,0,3,1,15,9,2,4,0,0,0,0,71,12,8,0,0,22
State,4,Bihar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
State,5,Goa,7,3,0,0,0,6,5,4,0,2,0,0,0,40,5,30,1,2,27
State,6,Gujarat,1223,669,72,48,750,308,249,227,317,5,40,2,11,1662,58,1251,19,72,6030
State,7,Haryana,801,184,0,0,617,11,23,23,1,0,8,0,8,14,11,0,2,8,137
State,8,Himachal Pradesh,163,64,2,0,109,21,2,18,14,8,2,0,2,78,7,52,5,24,59
State,9,Jammu & Kashmir,24,18,1,0,13,11,0,0,2,0,0,0,0,402,56,16,3,30,194
State,10,Karnataka,169,62,6,5,88,62,39,40,59,4,0,0,0,684,49,42,10,29,462
State,11,Kerala,1139,267,6,1,343,111,37,44,50,8,4,2,2,862,134,214,7,143,299
State,12,Madhya Pradesh,19183,3129,4,1,17310,48,732,64,257,51,36,40,26,783,534,271,90,303,1747
State,13,Maharashtra,2190,1083,59,96,427,489,211,353,350,26,47,3,28,1944,407,575,77,236,6971
