SI.No.,Crime Head,Percentage of Cases to Total Cases for Trial - Compounded or Withdrawn,Percent of Cases to total Cases for Trial in which - Trials were Completed - Convicted,Percent of Cases to Total Cases for Trial in which - Trials were Completed - Acquitted or Discharged,Percent of Cases to Total Cases for Trial in which - Trials were Completed - Total [Col. 4+5],Percent of Cases to Total Cases for Trial - Pending Trial,Conviction Rate [(Col. 4/Col. 7)*100]
1,Murder,0.3,5.3,9.3,14.6,85.1,36.2
2,Attempt to Commit Murder,1,5.2,9.5,14.7,84.3,35.1
3,C.H. Not Amounting To Murder,1.1,5.3,10.2,15.5,83.4,34
4,Rape,0.5,4.5,11.8,16.3,83.1,27.8
5,Kidnapping & Abduction,1.2,3.9,10,13.9,84.9,28.2
5,I)of Women & Girls,1.2,4,9.9,13.9,84.9,28.8
5,II)of others,1,3.7,10.2,13.9,85.1,26.6
6,Dacoity,0.2,2.7,7.7,10.4,89.3,26.2
7,Preparation & Assembly for Dacoity,0.2,5.5,8.6,14.1,85.7,39.1
8,Robbery,0.5,3.4,8.3,11.7,87.8,29.3
9,Burglary,1.3,5,8.7,13.7,85,36.2
10,Theft,1.8,5.9,9.6,15.5,82.8,37.9
11,Riots,3.6,3.3,9.5,12.9,83.5,26
12,Criminal Breach of Trust,1.3,3.1,6.9,10,88.7,31
13,Cheating,1.4,2.9,6.8,9.7,88.9,29.7
14,Counterfeiting,0.4,4.6,11.5,16.1,83.5,28.8
15,Arson,2,3.9,12.8,16.7,81.4,23.3
16,Hurt/Grievous Hurt,7.4,5,11,16,76.6,31.2
17,Dowry Deaths,0.6,4.8,9,13.8,85.6,34.9
18,Molestation,6.2,4.7,10.6,15.3,78.5,30.6
19,Sexual Harassment,4,22.1,9,31.1,65,71.2
20,Cruelty by Husband and Relatives,4.2,2.3,9.9,12.2,83.6,19.1
21,Other IPC Crimes,4.3,7.7,10.1,17.7,78,43.2
22,Total Cognizable Crimes Under IPC,3.8,6,9.9,15.9,80.3,37.8
