SI.No.,Crime Head.,Below 16 Years - Male,Below 16 Years - Female,16-18 years - Male,16-18 years - Female,18-30 years - Male,18-30 years - Female,30-50 years - Male,30-50 years - Female,50 years & Above - Male,50 years & Above - Female,Total over all age group - Juveniles - Male,Total over all age group - Juveniles - Female,Total over all age group - others - Male,Total over all age group - others - Female,Total over all age group - Total - Male,Total over all age group - Total - Female,Total Male + Female (Col. 17+18)
1,Murder,267,23,1251,37,38133,1348,31857,1439,6082,321,267,60,77323,3108,77590,3168,80758
2,Attempt to Commit Murder,208,12,1250,23,39304,683,27235,648,4446,168,208,35,72235,1499,72443,1534,73977
3,C.H. Not Amounting To Murder,10,1,103,13,4048,143,3184,126,380,49,10,14,7715,318,7725,332,8057
4,Rape,157,0,646,7,12819,115,5080,147,634,18,157,7,19179,280,19336,287,19623
5,Kidnapping & Abduction,99,8,759,32,15842,1691,7262,986,919,53,99,40,24782,2730,24881,2770,27651
5,I)of Women & Girls,10,8,252,26,9885,1607,4553,925,509,44,10,34,15199,2576,15209,2610,17819
5,II)of Others,89,0,507,6,5957,84,2709,61,410,9,89,6,24782,154,9672,160,9832
6,Dacoity,55,0,665,0,15031,59,7853,34,942,3,55,0,15199,96,24546,96,24642
7,Preparation & Assembly for Dacoity,0,0,89,0,2923,19,1191,10,158,0,0,0,9583,29,4361,29,4390
8,Robbery,109,1,622,9,19335,73,8030,79,802,15,109,10,24491,167,28898,177,29075
9,Burglary,1692,33,2864,41,42680,637,23882,424,3114,52,1692,74,4361,1113,74232,1187,75419
10,Theft,2759,144,5681,256,88512,2323,68788,1517,9394,184,2759,400,28789,4024,175134,4424,179558
11,Riots,747,46,13859,368,234963,12177,175662,8889,30694,1762,747,414,72540,22828,455925,23242,479167
12,Criminal Breach of Trust,8,0,114,1,6669,96,7353,149,1440,25,8,1,172375,270,15584,271,15855
13,Cheating,58,3,445,1,13169,345,14163,513,2311,90,58,4,455178,948,30146,952,31098
14,Counterfeiting,0,0,6,0,334,5,299,7,66,0,0,0,705,12,705,12,717
15,Arson,31,1,151,8,7223,101,6437,118,1310,15,31,9,15121,234,15152,243,15395
16,Hurt/Grievous Hurt,1228,129,7518,388,205682,9725,162865,8697,30732,1758,1228,517,406797,20180,408025,20697,428722
17,Dowry Deaths,4,5,289,43,5790,1257,4132,1565,1241,513,4,48,11452,3335,11456,3383,14839
18,Molestation,123,0,1555,1,22275,193,11135,137,1091,17,123,1,36056,347,36179,348,36527
