SL.No.,State/UT,Number of Cases in which Property was - Stolen,Number of Cases in which Property was - Recovered,Value of Property (Rs. In Lakhs) - Stolen,Value of Property (Rs. In Lakhs) - Recovered
1,Andhra Pradesh,59,35,6.1,2.5
2,Arunachal Pradesh,4,4,1.6,0.8
3,Assam,64,26,3.3,1.5
4,Bihar,68,13,15.9,2.4
5,Goa,5,0,0.4,0
6,Gujarat,405,111,416.6,15.8
7,Haryana,2,0,0.8,0
8,Himachal Pradesh,27,7,4.7,0.3
9,Jammu & Kashmir,2,2,2.9,2.9
10,Karnataka,48,5,5.7,0.6
11,Kerala,19,4,9.2,6.8
12,Madhya Pradesh,675,273,19.4,8
13,Maharashtra,323,57,21.6,6
14,Manipur,0,0,0,0
15,Meghalaya,0,0,0,0
16,Mizoram,0,0,0,0
17,Nagaland,1,1,0.3,0.1
18,Orissa,279,197,76.2,51.5
19,Punjab,0,0,0,0
20,Rajasthan,75,17,47.1,29.9
21,Sikkim,3,0,0.4,0
22,Tamil Nadu,38,16,4.3,1.3
23,Tripura,0,0,0,0
24,Uttar Pradesh,131,28,6.1,2
25,West Bengal,640,58,5.8,0.6
Total (States),Total (States),2868,854,648.4,133
26,A & N Islands,0,0,0,0
27,Chandigarh,0,0,0,0
28,D & N Haveli,0,0,0,0
29,Daman & Diu,1,1,0.4,0.4
30,Delhi,0,0,0,0
31,Lakshadweep,0,0,0,0
32,Pondicherry,1,1,0,0
Total (UTs),Total (UTs),2,2,0.4,0.4
Total (All-India),Total (All-India),2870,856,648.8,133.4
