Category (Col. 1),States/ UTs (Col. 2),No. of Reported Cases where the Loss of Property Under Criminal Breach of Trust Worth Rs. (Col. 3) - 1-10 Crore,No. of Reported Cases where the Loss of Property Under Criminal Breach of Trust Worth Rs. (Col. 4) - 10-25 Crore,No. of Reported Cases where the Loss of Property Under Criminal Breach of Trust Worth Rs. (Col. 5) - 25-50 Crore,No. of Reported Cases where the Loss of Property Under Criminal Breach of Trust Worth Rs. (Col. 6) - 50-100 Crore,No. of Reported Cases where the Loss of Property Under Criminal Breach of Trust Worth Rs. (Col. 7) - Above 100 Crore,No. of Reported Cases where the Loss of Property Under Criminal Breach of Trust Worth Rs. (Col. 8) - Total,No. of Reported Cases where the Loss of Property Under Cheating Worth Rs. (Col. 9) - 1-10 Crore,No. of Reported Cases where the Loss of Property Under Cheating Worth Rs. (Col. 10) - 10-25 Crore,No. of Reported Cases where the Loss of Property Under Cheating Worth Rs. (Col. 11) - 25-50 Crore,No. of Reported Cases where the Loss of Property Under Cheating Worth Rs. (Col. 12) - 50-100 Crore,No. of Reported Cases where the Loss of Property Under Cheating Worth Rs. (Col. 13) - Above 100 Crore,No. of Reported Cases where the Loss of Property Under Cheating Worth Rs. (Col. 14) - Total,Grand Total (Col. 15) = Col. (8+ 14)
State,Andhra Pradesh,1,0,0,0,0,1,1,0,0,0,0,1,2
State,Arunachal Pradesh,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Assam,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Bihar,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Chhattisgarh,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Goa,0,0,1,0,0,1,4,0,0,0,0,4,5
State,Gujarat,15,0,0,0,0,15,9,0,0,0,0,9,24
State,Haryana,0,0,0,0,0,0,4,0,0,0,0,4,4
State,Himachal Pradesh,1,0,0,0,0,1,1,1,0,0,0,2,3
State,Jammu & Kashmir,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Jharkhand,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Karnataka,4,0,0,0,0,4,4,0,0,0,0,4,8
State,Kerala,3,0,0,0,0,3,8,0,0,0,0,8,11
State,Madhya Pradesh,16,0,0,0,0,16,10,0,0,0,0,10,26
State,Maharashtra,21,2,2,1,0,26,57,3,2,1,1,64,90
State,Manipur,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Meghalaya,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Mizoram,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Nagaland,6,0,0,0,0,6,33,0,0,0,0,33,39
State,Orissa,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Punjab,0,0,0,0,0,0,4,0,0,0,0,4,4
State,Rajasthan,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Sikkim,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Tamil Nadu,2,0,1,2,0,5,25,4,1,0,0,30,35
State,Tripura,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Uttar Pradesh,2,0,0,0,0,2,2,0,0,0,0,2,4
State,Uttarakhand,0,0,0,0,0,0,0,0,0,0,0,0,0
State,West Bengal,1,0,0,0,0,1,13,1,0,0,0,14,15
State,Total (States),72,2,4,3,0,81,175,9,3,1,1,189,270
Union Territory,A & N Islands,0,0,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Chandigarh,0,0,0,0,0,0,0,0,0,0,0,0,0
Union Territory,D & N Haveli,0,0,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Daman & Diu,0,0,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Delhi,43,6,5,4,5,63,11,0,0,0,0,11,74
Union Territory,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Puducherry,0,0,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Total (UTs),43,6,5,4,5,63,11,0,0,0,0,11,74
Total (All-India),Total (All-India),115,8,9,7,5,144,186,9,3,1,1,200,344
