Sr. No.,Category,States/ UTs,2008,2009,Percentage Variation in 2009 Over 2008,Percentage Contribution to All-India During 2009
1,State,Andhra Pradesh,231386,234920,1.5,8.2
2,State,Arunachal Pradesh,2621,2817,7.5,0.1
3,State,Assam,56084,71627,27.7,2.5
4,State,Bihar,232962,205005,-12,7.2
5,State,Chhattisgarh,67579,67070,-0.8,2.4
6,State,Goa,3159,3124,-1.1,0.1
7,State,Gujarat,169084,154679,-8.5,5.4
8,State,Haryana,71553,67152,-6.2,2.4
9,State,Himachal Pradesh,19747,18999,-3.8,0.7
10,State,Jammu & Kashmir,25642,33419,30.3,1.2
11,State,Jharkhand,50136,51558,2.8,1.8
12,State,Karnataka,150998,149981,-0.7,5.3
13,State,Kerala,156403,162016,3.6,5.7
14,State,Madhya Pradesh,343047,331978,-3.2,11.7
15,State,Maharashtra,311598,294753,-5.4,10.3
16,State,Manipur,1325,1442,8.8,0.1
17,State,Meghalaya,1666,1677,0.7,0.1
18,State,Mizoram,2162,2039,-5.7,0.1
19,State,Nagaland,1024,1103,7.7,0
20,State,Orissa,77827,80595,3.6,2.8
21,State,Punjab,46525,46262,-0.6,1.6
22,State,Rajasthan,181167,189997,4.9,6.7
23,State,Sikkim,897,893,-0.4,0
24,State,Tamil Nadu,212832,208677,-2,7.3
25,State,Tripura,6001,8984,49.7,0.3
26,State,Uttar Pradesh,275250,285286,3.6,10
27,State,Uttarakhand,11392,11829,3.8,0.4
28,State,West Bengal,121906,113613,-6.8,4
State,State,Total (States),2831973,2801495,-1.1,98.3
29,Union Territory,A & N Islands,1064,1035,-2.7,0
30,Union Territory,Chandigarh,2984,2354,-21.1,0.1
31,Union Territory,D & N Haveli,597,694,16.2,0
32,Union Territory,Daman & Diu,398,452,13.6,0
33,Union Territory,Delhi,38286,36263,-5.3,1.3
34,Union Territory,Lakshadweep,62,230,271,0
35,Union Territory,Puducherry,6922,6502,-6.1,0.2
Union Territory,Union Territory,Total (UTs),50313,47530,-5.5,1.7
Total (All-India),Total (All-India),Total (All-India),2882286,2849025,-1.2,100
