Sr. No.,Category,States/ UTs,Number of - Death Reported,Number of - Autopsy Conducted,Number of - Magisterial Enquiry Ordered/ Conducted,Number of - Judicial Enquiry Ordered/ Conducted,Number of - Cases Regd. in Connection with Deaths,Number of - Policemen ChargeSheeted,Number of - Policemen Convicted
1,State,Andhra Pradesh,2,2,2,0,2,0,0
2,State,Arunachal Pradesh,0,0,0,0,0,0,0
3,State,Assam,0,0,0,0,0,0,0
4,State,Bihar,0,0,0,0,0,0,0
5,State,Chhattisgarh,1,1,0,1,1,0,0
6,State,Goa,0,0,0,0,0,0,0
7,State,Gujarat,4,3,0,4,1,1,0
8,State,Haryana,0,0,0,0,0,0,0
9,State,Himachal Pradesh,0,0,0,0,0,0,0
10,State,Jammu & Kashmir,0,0,0,0,0,0,0
11,State,Jharkhand,0,0,0,0,0,0,0
12,State,Karnataka,1,1,0,0,1,6,0
13,State,Kerala,0,0,0,0,0,0,0
14,State,Madhya Pradesh,9,9,3,6,2,0,0
15,State,Maharashtra,18,18,5,1,1,0,0
16,State,Manipur,0,0,0,0,0,0,0
17,State,Meghalaya,1,1,1,0,1,0,0
18,State,Mizoram,1,1,0,0,1,0,0
19,State,Nagaland,0,0,0,0,0,0,0
20,State,Orissa,2,2,2,0,2,1,0
21,State,Punjab,4,4,2,2,1,0,0
22,State,Rajasthan,2,2,2,0,1,0,0
23,State,Sikkim,0,0,0,0,0,0,0
24,State,Tamil Nadu,5,5,5,3,1,0,0
25,State,Tripura,0,0,0,0,0,0,0
26,State,Uttar Pradesh,6,6,6,0,6,4,4
27,State,Uttarakhand,0,0,0,0,0,0,0
28,State,West Bengal,2,2,2,0,2,0,0
State,State,Total (States),58,57,30,17,23,12,4
29,Union Territory,A & N Islands,0,0,0,0,0,0,0
30,Union Territory,Chandigarh,1,1,1,1,0,0,0
31,Union Territory,D & N Haveli,0,0,0,0,0,0,0
32,Union Territory,Daman & Diu,0,0,0,0,0,0,0
33,Union Territory,Delhi,0,0,0,0,0,0,0
34,Union Territory,Lakshadweep,0,0,0,0,0,0,0
35,Union Territory,Puducherry,0,0,0,0,0,0,0
Union Territory,Union Territory,Total (UTs),1,1,1,1,0,0,0
Total (All-India),Total (All-India),Total (All-India),59,58,31,18,23,12,4
