Crime Head,Number of Cases Reported During - 2008,Number of Cases Reported During - 2009,Percentage Change in 2009 Over 2008,Note of Percentage Change in 2009 Over 2008,,,,,,,,,,,,,,,,,
1 . Arms Act,257,223,-13.2,NA,,,,,,,,,,,,,,,,,
2 . Narcotic Drugs & Psychotropic Substances Act,66,61,-7.6,NA,,,,,,,,,,,,,,,,,
3 . Gambling Act,596,1149,92.8,NA,,,,,,,,,,,,,,,,,
4 . Excise Act,357,465,30.3,NA,,,,,,,,,,,,,,,,,
5 . Prohibition Act,398,592,48.7,NA,,,,,,,,,,,,,,,,,
6 . Explosives & Explosive Substances Act,7,16,128.6,NA,,,,,,,,,,,,,,,,,
7 . Immoral Traffic (p) Act,22,18,-18.2,NA,,,,,,,,,,,,,,,,,
8 . Indian Railways Act,4,2,-50,NA,,,,,,,,,,,,,,,,,
9 . Registration Of Foreigners Act,37,14,-62.2,NA,,,,,,,,,,,,,,,,,
10 . Protection Of Civil Rights Act - Total,2,0,NA,@,,,,,,,,,,,,,,,,,
10 . Protection Of Civil Rights Act - (i) Pcr Act For Scs,2,0,NA,@,,,,,,,,,,,,,,,,,
10 . Protection Of Civil Rights Act - (ii) Pcr Act For Sts,0,0,NA,@,,,,,,,,,,,,,,,,,
11 . Indian Passport Act,8,7,-12.5,NA,,,,,,,,,,,,,,,,,
12 . Essential Commodities Act,9,6,-33.3,NA,,,,,,,,,,,,,,,,,
13 . Terrorist & Disruptive Activities Act,0,0,NA,@,,,,,,,,,,,,,,,,,
14 . Antiquities & Art Treasures Act,0,0,NA,@,,,,,,,,,,,,,,,,,
15 . Dowry Prohibition Act,6,44,633.3,NA,,,,,,,,,,,,,,,,,
16 . Child Marriage Restraint Act,3,0,NA,@,,,,,,,,,,,,,,,,,
17 . Indecent Representation Of Women (p) Act,0,3,NA,NA,,,,,,,,,,,,,,,,,
18 . Copyright Act,23,19,-17.4,NA,,,,,,,,,,,,,,,,,
19 . Sati Prevention Act,0,0,NA,@,,,,,,,,,,,,,,,,,
20 . Sc/st (prevention Of Atrocities) Act - Total,45,21,-53.3,NA,,,,,,,,,,,,,,,,,
20 . Sc/st (prevention Of Atrocities) Act - (i) Prevention Of Attrocities Act For Scs,43,20,-53.5,NA,,,,,,,,,,,,,,,,,
20 . Sc/st (prevention Of Atrocities) Act - (ii) Prevention Of Attrocities Act For Sts,2,1,-50,NA,,,,,,,,,,,,,,,,,
21 . Forest Act,1,9,800,NA,,,,,,,,,,,,,,,,,
22 . Other Sll Crimes,1315,1672,27.1,NA,,,,,,,,,,,,,,,,,
Total Cognizable Crimes Under Sll,3156,4321,36.9,NA,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,SUBSTANCES,ACT,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,ACT,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,ACT,,,,(I),PCR,ACT,FOR,SCs,,,,(ii),PCR,ACT,FOR,STs
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,CRIMES,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,23,TOTAL,COGNIZABLE,CRIMES,UNDER,SLL,,,,,,,,,,,,,,
