Sr. No.,Crime Head,Total No. of Persons Under Arrest* Including Those from Previous Year,Persons Released Before Trial - No.,Persons Released Before Trial - Percentage to Total,Persons Charge Sheeted - No.,Persons Charge Sheeted - Percentage to Total,Persons Under Investigation at the end of the Year - No.,Persons Under Investigation at the end of the Year - Percentage to Total
1,Murder (sec.302 Ipc),90415,3749,4.1,57448,63.5,29218,32.3
2,Attempt To Commit Murder (sec. 307 Ipc),86026,2746,3.2,60044,69.8,23236,27
3,"C.h. Not Amounting Murder (sec. 304, 308 Ipc)",9091,724,8,5593,61.5,2774,30.5
4,Rape (sec. 376 Ipc) - Total,34579,1645,4.8,23996,69.4,8938,25.8
4,Rape (sec. 376 Ipc) - Custodial Rape,7,0,0,6,0,1,0
4,Rape (sec. 376 Ipc) - Other Rape,34572,1645,4.8,23990,69.4,8937,25.9
5,"Kidnapping & Abduction (sec. 363-369,371-373 Ipc) - Total",58864,6744,11.5,32992,56,19128,32.5
5,"Kidnapping & Abduction (sec. 363-369,371-373 Ipc) - I) Of Women & Girls",41746,5430,13,24038,57.6,12278,29.4
5,"Kidnapping & Abduction (sec. 363-369,371-373 Ipc) - Ii) Of Others",17118,1314,7.7,8954,52.3,6850,40
6,Dacoity (sec. 395-398 Ipc),29786,2016,6.8,15429,51.8,12341,41.4
7,Preparation & Assembly For Dacoity (sec. 399-402 Ipc),17084,340,2,10591,62,6153,36
8,"Robbery (sec. 392-394,397,398 Ipc)",48443,3043,6.3,29395,60.7,16005,33
9,"Burglary (sec. 449-452,454,455,457-460 Ipc)",88695,5656,6.4,61362,69.2,21677,24.4
10,Theft (sec. 379-382 Ipc) - Total,258588,18812,7.3,171910,66.5,67866,26.2
10,Theft (sec. 379-382 Ipc) - I) Auto Theft,69894,4441,6.4,46882,67.1,18571,26.6
10,Theft (sec. 379-382 Ipc) - Ii) Other Theft,188694,14371,7.6,125028,66.3,49295,26.1
11,"Riots (sec. 143-145,147-151,153,153a,153b,157,158,160 Ipc)",399388,12901,3.2,290232,72.7,96255,24.1
12,Criminal Breach Of Trust (sec. 406-409 Ipc),28548,3291,11.5,15882,55.6,9375,32.8
13,"Cheating (sec. 419,420 Ipc)",95333,9025,9.5,55702,58.4,30606,32.1
14,"Counterfeiting (sec. 231-254,489a-489d Ipc)",4852,341,7,2236,46.1,2275,46.9
15,"Arson (sec. 435,436,438 Ipc)",16037,802,5,10349,64.5,4886,30.5
16,"Hurt (sec. 323-333,335-338 Ipc)",579691,11430,2,477042,82.3,91219,15.7
17,Dowry Deaths (sec. 304b Ipc),30625,2815,9.2,19489,63.6,8321,27.2
18,Molestation (sec. 354 Ipc),55844,1401,2.5,46137,82.6,8306,14.9
19,Sexual Harassment (sec. 509 Ipc),15916,195,1.2,13953,87.7,1768,11.1
20,Cruelty By Husband And Relatives (sec. 498a Ipc),211192,11380,5.4,159672,75.6,40140,19
21,Importation Of Girls (sec. 366b Ipc),103,1,1,50,48.5,52,50.5
22,Death Due To Negligence (304a Ipc),99826,3587,3.6,75584,75.7,20655,20.7
23,Other Ipc Crimes,1274052,33938,2.7,1023700,80.3,216414,17
Total Cognizable Crimes Under Ipc,Total Cognizable Crimes Under Ipc,3532978,136582,3.9,2658788,75.3,737608,20.9
