Sr. No.,Category,States/ UTs,Total No. of Persons under Arrest Including those from Previous Year,Number of Persons Released before Trial,Number of Persons Charge Sheeted,Number of Persons Under Investigation at the end of the Year,Pendency Percentage,Percentage of Pendency to All-India Total
1,State,Andhra Pradesh,2638,23,1789,826,31.3,11.9
2,State,Arunachal Pradesh,31,0,29,2,6.5,0
3,State,Assam,212,16,70,126,59.4,1.8
4,State,Bihar,2390,90,1170,1130,47.3,16.3
5,State,Chhattisgarh,1510,0,1498,12,0.8,0.2
6,State,Goa,226,11,111,104,46,1.5
7,State,Gujarat,1075,7,995,73,6.8,1.1
8,State,Haryana,328,0,318,10,3,0.1
9,State,Himachal Pradesh,282,12,202,68,24.1,1
10,State,Jammu & Kashmir,8,0,8,0,0,0
11,State,Jharkhand,206,11,108,87,42.2,1.3
12,State,Karnataka,390,5,315,70,17.9,1
13,State,Kerala,1074,4,658,412,38.4,5.9
14,State,Madhya Pradesh,5906,0,5813,93,1.6,1.3
15,State,Maharashtra,4212,43,2950,1219,28.9,17.6
16,State,Manipur,96,21,0,75,78.1,1.1
17,State,Meghalaya,127,2,42,83,65.4,1.2
18,State,Mizoram,15,0,13,2,13.3,0
19,State,Nagaland,6,0,1,5,83.3,0.1
20,State,Odisha,209,0,197,12,5.7,0.2
21,State,Punjab,1014,99,547,368,36.3,5.3
22,State,Rajasthan,914,0,901,13,1.4,0.2
23,State,Sikkim,80,8,31,41,51.3,0.6
24,State,Tamil Nadu,933,12,595,326,34.9,4.7
25,State,Tripura,151,43,68,40,26.5,0.6
26,State,Uttar Pradesh,5603,1112,3876,615,11,8.9
27,State,Uttarakhand,43,0,43,0,0,0
28,State,West Bengal,744,65,277,402,54,5.8
State,State,Total (States),30423,1584,22625,6214,20.4,89.5
29,Union Territory,Andaman & Nicobar Islands,93,0,49,44,47.3,0.6
30,Union Territory,Chandigarh,97,10,44,43,44.3,0.6
31,Union Territory,Dadra Nagar Haveli,24,0,21,3,12.5,0
32,Union Territory,Daman & Diu,10,0,1,9,90,0.1
33,Union Territory,Delhi,1823,23,1178,622,34.1,9
34,Union Territory,Lakshadweep,0,0,0,0,0,0
35,Union Territory,Pondicherry,36,0,29,7,19.4,0.1
Union Territory,Union Territory,Total (UTs),2083,33,1322,728,34.9,10.5
Total (All-India),Total (All-India),Total (All-India),32506,1617,23947,6942,21.4,100
