Sr. No.,Crime Head,2008,2009,Percentage Variation in 2009 Over 2008,Percentage Share of Arrestees Under Each Crime During 2009
1,Arms Act,81144,84873,4.6,1.7
2,Narcotic Drugs & Psychotropic Substances Act,36612,35436,-3.2,0.7
3,Gambling Act,335071,351425,4.9,7.2
4,Excise Act,172030,197732,14.9,4
5,Prohibition Act,375852,408481,8.7,8.3
6,Explosives & Explosive Substances Act,5104,5464,7.1,0.1
7,Immoral Traffic (p) Act,8250,7802,-5.4,0.2
8,Indian Railways Act,117,163,39.3,0
9,Registration of foreigners Act,2884,1938,-32.8,0
10,Protection of Civil Rights Act - Total,434,360,-17.1,0
10,Protection of Civil Rights Act - (i) Pcr Act for Scs,426,358,-16,0
10,Protection of Civil Rights Act - (ii) Pcr Act for Sts,8,2,-75,0
11,Indian Passport Act,2028,2034,0.3,0
12,Essential Commodities Act,13117,11038,-15.8,0.2
13,Terrorist & Disruptive Activities Act,0,0,0,0
14,Antiquities & Art Treasures Act,62,67,8.1,0
15,Dowry Prohibition Act,10535,10242,-2.8,0.2
16,Child Marriage Restraint Act,287,1,-99.7,0
17,Indecent Representation of Women (p) Act,1086,879,-19.1,0
18,Copyright Act,7717,7764,0.6,0.2
19,Sati Prevention Act,7,0,-100,0
20,Sc/st (prevention of Atrocities) Act - Total,23318,20902,-10.4,0.4
20,Sc/st (prevention of Atrocities) Act - (i) Prevention of Attrocities Act for Scs,21476,19332,-10,0.4
20,Sc/st (prevention of Atrocities) Act - (ii) Prevention of Attrocities Act for Sts,1842,1570,-14.8,0
21,forest Act,7399,7203,-2.6,0.1
22,Other Sll Crimes,3172934,3748802,18.1,76.5
Total Cognizable Crimes Under Sll,Total Cognizable Crimes Under Sll,4255988,4902606,15.2,100
