Sr. No.,States/ UTs,2007,2008,2009,Percentage Variation in - 2008 over 2007,Percentage Variation in - 2009 over 2008
1,Andhra Pradesh,993,1064,1394,7.2,31
2,Assam,272,251,306,-7.7,21.9
3,Bihar,2076,2238,2342,7.8,4.6
4,Chhattisgarh,291,301,358,3.4,18.9
5,Gujarat,1259,1156,862,-8.2,-25.4
6,Haryana,1139,1260,1264,10.6,0.3
7,Himachal Pradesh,4,8,9,100,12.5
8,Jammu & Kashmir,27,13,27,-51.9,107.7
9,Jharkhand,546,429,592,-21.4,38
10,Karnataka,488,447,604,-8.4,35.1
11,Kerala,214,209,269,-2.3,28.7
12,Madhya Pradesh,2006,2029,2192,1.1,8
13,Maharashtra,3389,3924,4048,15.8,3.2
14,Orissa,624,808,988,29.5,22.3
15,Punjab,306,401,468,31,16.7
16,Rajasthan,972,745,928,-23.4,24.6
17,Tamil Nadu,450,637,660,41.6,3.6
18,Uttar Pradesh,2153,2632,2632,22.2,0
19,West Bengal,1028,1197,1105,16.4,-7.7
20,Delhi UT,926,951,864,2.7,-9.1
Total (All-India),Total (All-India),19163,20700,21912,8,5.9
