Sr. No. (Col. 1),Category (Col. 2),States/ UTs (Col. 3),Total No. of Cases for Trial Including Pending Cases from Previous Year (Col. 4),Cases Withdrawn by Govt. (Col. 5),No. of Cases Compounded or Withdrawn (Col. 6),No. of Cases - in which Trials Completed - Convicted (Col. 7),No. of Cases - in which Trials Completed - Acquitted or Discharged (Col. 8),No. of Cases - in which Trials Completed - Total {(Col.7)+(Col.8)} = (Col. 9),No. of Cases - Pending Trial at the end of the year (Col. 10),Pending Percentage (Col. 11),Percentage of Pendency to All-India Total (Col. 12),Conviction Rate {(Col.7)/ (Col.9)} × 100 = (Col. 13),Note of Pending Percentage (Col. 11),Note of Conviction Rate {(Col.7)/ (Col.9)} × 100 = (Col. 13)
1,State,Andhra Pradesh,3292,2,62,121,920,1041,2189,66.5,4.1,11.6,NA,NA
2,State,Arunachal Pradesh,109,0,0,0,0,0,109,100,0.2,NA,NA,@
3,State,Assam,289,0,0,12,73,85,204,70.6,0.4,14.1,NA,NA
4,State,Bihar,1454,0,0,18,74,92,1362,93.7,2.5,19.6,NA,NA
5,State,Chhattisgarh,3620,0,99,251,530,781,2740,75.7,5.1,32.1,NA,NA
6,State,Goa,199,0,1,15,43,58,140,70.4,0.3,25.9,NA,NA
7,State,Gujarat,4387,0,6,42,232,274,4107,93.6,7.6,15.3,NA,NA
8,State,Haryana,759,0,0,70,234,304,455,59.9,0.8,23,NA,NA
9,State,Himachal Pradesh,448,1,2,31,64,95,351,78.3,0.7,32.6,NA,NA
10,State,Jammu & Kashmir,154,0,0,2,4,6,148,96.1,0.3,33.3,NA,NA
11,State,Jharkhand,219,0,15,20,67,87,117,53.4,0.2,23,NA,NA
12,State,Karnataka,789,0,8,10,155,165,616,78.1,1.1,6.1,NA,NA
13,State,Kerala,1878,0,7,44,173,217,1654,88.1,3.1,20.3,NA,NA
14,State,Madhya Pradesh,12765,0,536,1100,1816,2916,9313,73,17.3,37.7,NA,NA
15,State,Maharashtra,14391,0,7,119,755,874,13510,93.9,25,13.6,NA,NA
16,State,Manipur,2,0,0,0,0,0,2,100,0,NA,NA,@
17,State,Meghalaya,169,0,0,0,17,17,152,89.9,0.3,0,NA,NA
18,State,Mizoram,34,0,18,2,0,2,14,41.2,0,100,NA,NA
19,State,Nagaland,2,0,1,0,0,0,1,50,0,NA,NA,@
20,State,Odisha,704,0,0,4,63,67,637,90.5,1.2,6,NA,NA
21,State,Punjab,886,0,1,102,144,246,639,72.1,1.2,41.5,NA,NA
22,State,Rajasthan,2769,0,3,125,169,294,2472,89.3,4.6,42.5,NA,NA
23,State,Sikkim,49,0,0,8,17,25,24,49,0,32,NA,NA
24,State,Tamil Nadu,1132,0,0,58,241,299,833,73.6,1.5,19.4,NA,NA
25,State,Tripura,254,0,2,18,44,62,190,74.8,0.4,29,NA,NA
26,State,Uttar Pradesh,10422,0,2,1278,1042,2320,8100,77.7,15,55.1,NA,NA
27,State,Uttarakhand,155,0,1,21,17,38,116,74.8,0.2,55.3,NA,NA
28,State,West Bengal,768,0,17,10,65,75,676,88,1.3,13.3,NA,NA
State,State,Total (States),62099,3,788,3481,6959,10440,50871,81.9,94.2,33.3,NA,NA
29,Union Territory,Andaman & Nicobar Islands,85,0,0,6,11,17,68,80,0.1,35.3,NA,NA
30,Union Territory,Chandigarh,93,0,0,19,15,34,59,63.4,0.1,55.9,NA,NA
31,Union Territory,Dadra Nagar Haveli,38,0,0,3,1,4,34,89.5,0.1,75,NA,NA
32,Union Territory,Daman & Diu,7,0,0,0,0,0,7,100,0,NA,NA,@
33,Union Territory,Delhi,3329,0,0,203,259,462,2867,86.1,5.3,43.9,NA,NA
34,Union Territory,Lakshadweep,0,0,0,0,0,0,0,NA,0,NA,@,@
35,Union Territory,Pondicherry,84,0,1,3,5,8,75,89.3,0.1,37.5,NA,NA
Union Territory,Union Territory,Total (UTs),3636,0,1,234,291,525,3110,85.5,5.8,44.6,NA,NA
Total (All-India),Total (All-India),Total (All-India),65735,3,789,3715,7250,10965,53981,82.1,100,33.9,NA,NA
