Sr. No. (Col.1),Crime Head (Col. 2),Cases Withdrawn by Govt. (Col. 3),Percentage of Cases to Total Cases for Investigation in which - Investigation Refused (Col. 4),Percentage of Cases to Total Cases for Investigation in which - Investigation Completed - Charge Found False/ Mistake of Fact or Law etc. (Col. 5),Percentage of Cases to Total Cases for Investigation in which - Investigation Completed - Final Report True Submitted (Col. 6),Percentage of Cases to Total Cases for Investigation in which - Investigation Completed - Charge Sheets Submitted (Col. 7),Percentage of Cases to Total Cases for Investigation in which - Investigation Completed - Total {(Col.5+Col.6+Col.7)} = (Col. 8),No. of Cases Pending Investigation at the end of the Year (Col. 9),Charge-Sheeting Rate {(Col.7)/ (Col.6+Col.7)× 100} = (Col. 10)
1,Murder (Sec.302 IPC),0.1,0,5.5,3.7,68.5,77.7,22.2,94.9
2,Rape (Sec. 376 IPC),0,0,9,2.4,71.1,82.6,17.4,96.7
3,"Kidnapping & Abduction (Sec.363-369, 371-373 IPC)",0,0.5,12.8,11.5,56.1,80.4,19.1,82.9
4,Dacoity (Sec.395-398 IPC),0,3,6.1,7.6,43.9,57.6,39.4,85.3
5,"Robbery ( Sec.392-394, 397, 398 IPC)",0,1,13,7,53,73,26,88.3
6,"Arson (Sec.435, 436, 438 IPC)",0,0,11.9,5.1,48.4,65.3,34.7,90.5
7,"Hurt (Sec.323-333, 335-338 IPC)",0,0,13.9,3.8,55.6,73.3,26.7,93.6
8,"PCR Act, 1955 for SCs",0,1.2,10.2,16.3,42.4,69,29.8,72.2
9,"SC/ST Prev. of Atrocities Act, 1989 for SCs",0,0.1,15.7,8.1,40,63.8,36.1,83.2
10,Other Crimes Against SCs,0,0,23.3,5.9,53.7,82.9,17.1,90.1
11,Total,0,0.1,18,6.4,49.5,74,25.9,88.5
