Sr. No.,Category,States/ UTs,Total No. of Persons Under Arrest Including those from Previous Year,Number of Persons Released Before Trial,Number of Person Charge Sheeted,Number of Persons Under Investigation at the end of the Year,Pendency Percentage,Percentage of Pendency to All-India Total,Note of Pendency Percentage
1,State,Andhra Pradesh,1094,30,698,366,33.5,28.3,NA
2,State,Arunachal Pradesh,15,1,13,1,6.7,0.1,NA
3,State,Assam,199,18,43,138,69.3,10.7,NA
4,State,Bihar,243,3,114,126,51.9,9.7,NA
5,State,Chhattisgarh,806,0,788,18,2.2,1.4,NA
6,State,Goa,8,0,8,0,0,0,NA
7,State,Gujarat,450,1,442,7,1.6,0.5,NA
8,State,Haryana,0,0,0,0,NA,0,@
9,State,Himachal Pradesh,2,0,2,0,0,0,NA
10,State,Jammu & Kashmir,0,0,0,0,NA,0,@
11,State,Jharkhand,595,0,413,182,30.6,14.1,NA
12,State,Karnataka,885,43,717,125,14.1,9.7,NA
13,State,Kerala,169,0,122,47,27.8,3.6,NA
14,State,Madhya Pradesh,2121,0,2107,14,0.7,1.1,NA
15,State,Maharashtra,710,10,543,157,22.1,12.1,NA
16,State,Manipur,4,0,0,4,100,0.3,NA
17,State,Meghalaya,0,0,0,0,NA,0,@
18,State,Mizoram,0,0,0,0,NA,0,@
19,State,Nagaland,0,0,0,0,NA,0,@
20,State,Orissa,970,0,898,72,7.4,5.6,NA
21,State,Punjab,0,0,0,0,NA,0,@
22,State,Rajasthan,1017,0,1011,6,0.6,0.5,NA
23,State,Sikkim,28,5,21,2,7.1,0.2,NA
24,State,Tamil Nadu,84,0,84,0,0,0,NA
25,State,Tripura,27,4,21,2,7.4,0.2,NA
26,State,Uttar Pradesh,10,4,6,0,0,0,NA
27,State,Uttarakhand,0,0,0,0,NA,0,@
28,State,West Bengal,31,0,6,25,80.6,1.9,NA
State,State,Total (States),9468,119,8057,1292,13.6,99.8,NA
29,Union Territory,A & N Islands,9,0,7,2,22.2,0.2,NA
30,Union Territory,Chandigarh,0,0,0,0,NA,0,@
31,Union Territory,D & N Haveli,19,0,19,0,0,0,NA
32,Union Territory,Daman & Diu,0,0,0,0,NA,0,@
33,Union Territory,Delhi,0,0,0,0,NA,0,@
34,Union Territory,Lakshadweep,0,0,0,0,NA,0,@
35,Union Territory,Puducherry,0,0,0,0,NA,0,@
Union Territory,Union Territory,Total (UTs),28,0,26,2,7.1,0.2,NA
Total (All-India),Total (All-India),Total (All-India),9496,119,8083,1294,13.6,100,NA
