Sr. No.,Crime Head,Total No. of Persons Under arrest Including those from Previous Year,Persons released before Trial - No.,Persons released before Trial - Percentage to Total,Persons Charge Sheeted - No.,Persons Charge Sheeted - Percentage to Total,Persons Under Investigation at the end of the Year - No.,Persons under Investigation at the end of the Year - Percentage to Total
1,Murder (Sec.302 IPC),2071,140,6.8,1650,79.7,281,13.6
2,Rape (Sec. 376 IPC),2055,123,6,1702,82.8,230,11.2
3,"Kidnapping & Abduction (Sec.363-369, 371-373 IPC)",1152,266,23.1,722,62.7,164,14.2
4,Dacoity (Sec.395-398 IPC),324,41,12.7,253,78.1,30,9.3
5,"Robbery ( Sec.392-394, 397, 398 IPC)",177,3,1.7,135,76.3,39,22
6,"Arson (Sec. 435, 436, 438 IPC)",515,50,9.7,365,70.9,100,19.4
7,"Hurt (Sec.323-333, 335-338 IPC)",9791,448,4.6,7429,75.9,1914,19.5
8,"PCR Act, 1955 for SCs",425,50,11.8,307,72.2,68,16
9,"SC/ST Prev. of Atrocities Act, 1989 for SCs",24819,2482,10,16656,67.1,5681,22.9
10,Other Crimes Against SCs,29791,3263,11,23060,77.4,3468,11.6
11,Total,71120,6866,9.7,52279,73.5,11975,16.8
