Sr. No.,Category,States/ UTs,Incidence,Percentage Contribution to All-India Total,Estimated Mid Year Population (In Lakhs)#,Rate of Total Cognizable Crimes,Rank as per Rate of Total Cognizable Crimes,Rank as per Percentage Share
1,State,Andhra Pradesh,830,15.3,832.99,1,8,3
2,State,Arunachal Pradesh,21,0.4,12.2,1.7,5,14
3,State,Assam,9,0.2,305.28,0,18,18
4,State,Bihar,67,1.2,957.5,0.1,16,11
5,State,Chhattisgarh,551,10.2,241.6,2.3,3,5
6,State,Goa,0,0,16.91,0,NA,NA
7,State,Gujarat,195,3.6,574.37,0.3,13,8
8,State,Haryana,0,0,242.43,0,NA,NA
9,State,Himachal Pradesh,1,0,66.29,0,20,21
10,State,Jammu & Kashmir,0,0,129.09,0,NA,NA
11,State,Jharkhand,182,3.4,305.44,0.6,10,9
12,State,Karnataka,272,5,582.04,0.5,12,6
13,State,Kerala,102,1.9,346.62,0.3,14,10
14,State,Madhya Pradesh,1135,20.9,708.98,1.6,6,2
15,State,Maharashtra,224,4.1,1087.01,0.2,15,7
16,State,Manipur,0,0,26.71,0,NA,NA
17,State,Meghalaya,0,0,25.77,0,NA,NA
18,State,Mizoram,0,0,9.96,0,NA,NA
19,State,Nagaland,0,0,22.23,0,NA,NA
20,State,Odisha,552,10.2,404.33,1.4,7,4
21,State,Punjab,0,0,269.81,0,NA,NA
22,State,Rajasthan,1183,21.8,660.56,1.8,4,1
23,State,Sikkim,14,0.3,6.04,2.3,2,17
24,State,Tamil Nadu,22,0.4,671.06,0,17,13
25,State,Tripura,27,0.5,35.67,0.8,9,12
26,State,Uttar Pradesh,4,0.1,1955.22,0,21,19
27,State,Uttarakhand,0,0,96.81,0,NA,NA
28,State,West Bengal,16,0.3,892.13,0,19,16
State,State,Total (States),5407,99.7,11485.05,0.5,NA,NA
29,Union Territory,Andaman & Nicobar Islands,2,0,4.23,0.5,11,20
30,Union Territory,Chandigarh,0,0,10.97,0,NA,NA
31,Union Territory,Dadra Nagar Haveli,16,0.3,2.75,5.8,1,15
32,Union Territory,Daman & Diu,0,0,1.94,0,NA,NA
33,Union Territory,Delhi,0,0,177.82,0,NA,NA
34,Union Territory,Lakshadweep,0,0,0.71,0,NA,NA
35,Union Territory,Pondicherry,0,0,10.97,0,NA,NA
Union Territory,Union Territory,Total (UTs),18,0.3,209.39,0.1,NA,NA
Total (All-India),Total (All-India),Total (All-India),5425,100,11694.4,0.5,NA,NA
