Sr. No.,Place of Occurrence,Dacoity (Section 395-398 IPC) - Number,Dacoity (Section 395-398 IPC) - Value,"Robbery (Section 392-394, 397, 398 IPC) - Number","Robbery (Section 392-394, 397, 398 IPC) - Value","Burglary (Section 449-452, 454, 455, 457-460 IPC) - Number","Burglary (Section 449-452, 454, 455, 457-460 IPC) - Value",Theft (Section 379-382 IPC) - Number,Theft (Section 379-382 IPC) - Value
1,Residential Premises,1540,2489.7,3292,2171.8,59018,26437.2,84100,34305
2,Highway,800,3789.5,4128,4116.9,368,232.2,15730,6419.4
3,River & Sea,3,6.8,9,3.2,4,0.7,240,142.3
4,Railways - Total,110,82.9,456,115.5,132,42.2,14237,4495.8
4,Railways - (i) Running Trains,86,36.3,213,52.5,3,0.3,6494,1982.7
4,Railways - (ii) Other Railways,24,46.6,243,63,129,41.9,7743,2513.1
5,Banks,54,471,70,322.6,463,1171.2,400,213.1
6,Commercial Establishments,267,1168.7,1037,1017.2,13095,8466.9,28362,15934.5
7,Other Places,1812,3919.2,13417,15037.2,18990,12948.6,181126,79353
8,Total,4586,11927.8,22409,22784.3,92070,49299,324195,140863.1
