Sr. No. (Col.1),Crime Head (Col. 2),Total No. of Cases for Trial Including Pending Cases from Previous Year (Col. 3),Cases Withdrawn by Govt. (Col. 4),No. of Cases - Compounded or Withdrawn (Col. 5),No. of Cases in which Trials Completed - Convicted (Col. 6),No. of Cases in which Trials Completed - Acquitted or Discharged (Col. 7),No. of Cases in which Trials Completed - Total {(Col.6)+(Col.7)} = (Col. 8),No. of Cases - Pending Trial at the end of the Year (Col. 9)
1,Murder (Sec.302 IPC),639,0,0,30,56,86,553
2,Rape (Sec. 376 IPC),2222,0,1,108,298,406,1815
3,"Kidnapping & Abduction (Sec.363-369,371-373 IPC)",317,0,0,8,31,39,278
4,Dacoity (Sec.395-398 IPC),35,0,0,3,3,6,29
5,"Robbery ( Sec.392-394, 397,398 IPC)",68,0,0,4,7,11,57
6,"Arson (Sec.435, 436, 438 IPC)",156,0,1,1,20,21,134
7,"Hurt (Sec.323-333, 335-338 IPC)",2800,0,31,140,347,487,2282
8,"PCR Act, 1955 for SCs",46,0,2,0,8,8,36
9,"SC/ST Prev. of Atrocities Act, 1989 for SCs",4777,0,32,158,610,768,3977
10,Other Crimes Against SCs,8540,1,85,510,1197,1707,6748
11,Total,19600,1,152,962,2577,3539,15909
