Sr. No. (Col.1),Crime Head (Col. 2),Total No. of Persons under Trial Including those from Previous Year (Col. 3),No. of Persons whose - Cases Compounded or Withdrawn (Col. 4),No. of Persons whose - Trial Completed (Col. 5),No. of Persons whose - Trial Remained Pending at the end of the Year (Col. 6),No. of Persons whose - No. of Persons Convicted (Col. 7),Percentage of Persons - whose Trials Remained Pending (Col.6× 100 / Col.3) (Col. 8),Percentage of Persons - Convicted to Trials Completed (Col.7 × 100 / Col.5) = (Col. 9)
1,Murder (Sec.302 IPC),9008,5,1575,7428,772,82.5,49
2,Rape (Sec. 376 IPC),6946,25,1450,5471,494,78.8,34.1
3,"Kidnapping & Abduction (Sec.363-369, 371-373 IPC)",2584,1,541,2042,222,79,41
4,Dacoity (Sec.395-398 IPC),1076,9,68,999,5,92.8,7.4
5,"Robbery ( Sec.392-394, 397, 398 IPC)",751,0,127,624,34,83.1,26.8
6,"Arson (Sec.435, 436, 438 IPC)",2469,1,313,2155,95,87.3,30.4
7,"Hurt (Sec.323-333, 335-338 IPC)",31507,194,6124,25189,1683,79.9,27.5
8,"PCR Act, 1955 for SCs",3450,11,567,2872,105,83.2,18.5
9,"SC/ST Prev. of Atrocities Act, 1989 for SCs",90256,871,17126,72259,4910,80.1,28.7
10,Other Crimes against SCs,90701,652,19584,70465,6408,77.7,32.7
Total,Total,238748,1769,47475,189504,14728,79.4,31
