Sr. No.,Category,States/ UTs,Unidentified Bodies Recovered and Inquest Conducted
1,State,Andhra Pradesh,2889
2,State,Arunachal Pradesh,5
3,State,Assam,12
4,State,Bihar,1480
5,State,Chhattisgarh,123
6,State,Goa,203
7,State,Gujarat,1909
8,State,Haryana,718
9,State,Himachal Pradesh,416
10,State,Jammu & Kashmir,141
11,State,Jharkhand,506
12,State,Karnataka,2107
13,State,Kerala,482
14,State,Madhya Pradesh,1031
15,State,Maharashtra,6895
16,State,Manipur,17
17,State,Meghalaya,25
18,State,Mizoram,8
19,State,Nagaland,3
20,State,Odisha,951
21,State,Punjab,1031
22,State,Rajasthan,997
23,State,Sikkim,20
24,State,Tamil Nadu,2491
25,State,Tripura,0
26,State,Uttar Pradesh,3297
27,State,Uttarakhand,470
28,State,West Bengal,4017
State,State,Total (States),32244
29,Union Territory,Andaman & Nicobar Islands,0
30,Union Territory,Chandigarh,74
31,Union Territory,Dadra Nagar Haveli,7
32,Union Territory,Daman & Diu,13
33,Union Territory,Delhi,2381
34,Union Territory,Lakshadweep,0
35,Union Territory,Pondicherry,183
Union Territory,Union Territory,Total (UTs),2658
Total (All-India),Total (All-India),Total (All-India),34902
