Sr. No. (Col.1),Category (Col.2),States/ UTs (Col.3),Total No. of Cases for Trial Including Pending Cases from Previous Year (Col. 4),Cases Withdrawn by Govt. (Col. 5),No. of Cases - Compounded or Withdrawn (Col. 6),No. of Cases in which Trials Completed - Convicted (Col. 7),No. of Cases in which Trials Completed - Acquitted or Discharged (Col. 8),No. of Cases in which Trials Completed - Total {(Col.7)+(Col.8)} = (Col. 9),No. of Cases - Pending Trial at the end of the Year (Col. 10),Pendency Percentage (Col. 11),Percentage of Pendency to All India Total (Col. 12),Conviction Rate{(Col7)/ (Col9)× 100} = (Col. 13),Note of Pendency Percentage (Col. 11),Note of Conviction Rate((Col7) /(Col9)× 100) (Col. 13)
1,State,Andhra Pradesh,1382,0,10,59,329,388,984,71.2,6.2,15.2,NA,NA
2,State,Arunachal Pradesh,229,0,0,0,0,0,229,100,1.4,NA,NA,@
3,State,Assam,156,0,0,3,26,29,127,81.4,0.8,10.3,NA,NA
4,State,Bihar,199,0,0,9,34,43,156,78.4,1,20.9,NA,NA
5,State,Chhattisgarh,2029,0,0,103,260,363,1666,82.1,10.5,28.4,NA,NA
6,State,Goa,1,0,0,0,0,0,1,100,0,NA,NA,@
7,State,Gujarat,1751,0,3,11,124,135,1613,92.1,10.1,8.1,NA,NA
8,State,Haryana,0,0,0,0,0,0,0,NA,0,NA,@,@
9,State,Himachal Pradesh,12,0,4,0,1,1,7,58.3,0,0,NA,NA
10,State,Jammu & Kashmir,0,0,0,0,0,0,0,0,0,NA,NA,@
11,State,Jharkhand,715,0,0,70,132,202,513,71.7,3.2,34.7,NA,NA
12,State,Karnataka,889,0,2,5,216,221,666,74.9,4.2,2.3,NA,NA
13,State,Kerala,291,0,3,4,37,41,247,84.9,1.6,9.8,NA,NA
14,State,Madhya Pradesh,4679,1,98,409,689,1098,3483,74.4,21.9,37.2,NA,NA
15,State,Maharashtra,2054,0,5,10,209,219,1830,89.1,11.5,4.6,NA,NA
16,State,Manipur,0,0,0,0,0,0,0,NA,0,NA,@,@
17,State,Meghalaya,0,0,0,0,0,0,0,NA,0,NA,@,@
18,State,Mizoram,0,0,0,0,0,0,0,NA,0,NA,@,@
19,State,Nagaland,0,0,0,0,0,0,0,NA,0,NA,@,@
20,State,Odisha,2616,0,0,23,173,196,2420,92.5,15.2,11.7,NA,NA
21,State,Punjab,0,0,0,0,0,0,0,0,0,0,NA,NA
22,State,Rajasthan,2282,0,27,217,298,515,1740,76.2,10.9,42.1,NA,NA
23,State,Sikkim,17,0,0,8,1,9,8,47.1,0.1,88.9,NA,NA
24,State,Tamil Nadu,77,0,0,10,21,31,46,59.7,0.3,32.3,NA,NA
25,State,Tripura,34,0,0,9,15,24,10,29.4,0.1,37.5,NA,NA
26,State,Uttar Pradesh,91,0,0,7,7,14,77,84.6,0.5,50,NA,NA
27,State,Uttarakhand,11,0,0,4,1,5,6,54.5,0,80,NA,NA
28,State,West Bengal,32,0,0,0,0,0,32,100,0.2,0,NA,NA
State,State,Total (States),19547,1,152,961,2573,3534,15861,81.1,99.7,27.2,NA,NA
29,Union Territory,Andaman & Nicobar Islands,24,0,0,0,0,0,24,100,0.2,NA,NA,@
30,Union Territory,Chandigarh,0,0,0,0,0,0,0,0,0,0,NA,NA
31,Union Territory,Dadra Nagar Haveli,25,0,0,1,3,4,21,84,0.1,25,NA,NA
32,Union Territory,Daman & Diu,2,0,0,0,0,0,2,100,0,NA,NA,@
33,Union Territory,Delhi,1,0,0,0,1,1,0,0,0,0,NA,NA
34,Union Territory,Lakshadweep,1,0,0,0,0,0,1,100,0,NA,NA,@
35,Union Territory,Pondicherry,0,0,0,0,0,0,0,NA,0,NA,@,@
Union Territory,Union Territory,Total (UTs),53,0,0,1,4,5,48,90.6,0.3,20,NA,NA
Total (All-India),Total (All-India),Total (All-India),19600,1,152,962,2577,3539,15909,81.2,100,27.2,NA,NA
