Sr. No.,Category,States/ UTs,Persons in Cust./ Bail During Investigation at Beginning of the Year,Persons Arrested During the Year,Persons Released by Police/ Magistrate Before Trial,Persons in Custody/ Bail During Investigation at the end of Year,Persons Charge Sheets,Persons Under Trial at the Beginning of Year,Total Persons Under Trial,No. of Persons Whose Cases Withdrawn or Otherwise Disposed of,Persons in Custody/ Bail During Trial at the end of Year,Persons in Whose Cases Trial Completed,Persons Convicted,Persons Acquitted,Percentage of Persons Convicted to Trial Completed,Persons Reported for Regular Deptt. Action,Persons Reported for Suitable Action,Persons Punished Departmentally - Dismissed from Service,Persons Punished Departmentally - Removed from Service,Persons Punished Departmentally - Awarded Other Major Punishment,Persons Punished Departmentally - Awarded Minor Punishment,Gazetted or Equal Status Officers in Public Under Taking Involved - Group 'A' Officers,Gazetted or Equal Status Officers in Public Under Taking Involved - Group 'B' Officers,Non Gazetted or Equal Status Officers in Public Undertaking Involved,Private Persons Involved
1,State,Andhra Pradesh,830,323,0,895,258,1017,1275,3,1025,247,110,137,44.5,0,0,8,0,25,12,0,0,167,42
2,State,Arunachal Pradesh,0,3,0,1,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,State,Assam,11,0,0,11,4,75,79,0,79,3,1,2,33.3,0,0,0,0,0,0,2,2,2,0
4,State,Bihar,31,203,0,42,192,1166,1358,0,1353,5,3,2,60,0,0,0,0,0,0,7,40,124,21
5,State,Chhattisgarh,86,50,5,97,34,219,253,2,230,21,3,18,14.3,0,0,0,0,0,0,0,8,41,1
6,State,Goa,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,State,Gujarat,115,276,0,144,247,928,1175,9,959,207,66,141,31.9,9,36,5,6,0,5,11,38,160,21
8,State,Haryana,1020,233,65,968,184,2522,2559,15,2219,420,104,316,24.8,0,0,16,0,0,0,5,10,17,40
9,State,Himachal Pradesh,206,239,3,272,170,526,701,2,524,175,14,161,8,1,0,0,0,0,0,13,8,131,96
10,State,Jammu & Kashmir,0,131,0,0,131,2172,2303,2,2208,93,6,87,6.5,10,0,0,0,0,0,0,0,48,10
11,State,Jharkhand,15,25,0,25,51,392,51,1,442,0,0,0,0,33,33,0,0,0,0,0,0,14,4
12,State,Karnataka,264,430,73,636,344,928,1272,18,1309,165,29,115,17.6,41,79,2,0,0,0,41,74,315,28
13,State,Kerala,0,28,28,0,213,398,455,12,0,150,71,60,47.3,32,7,0,1,1,3,7,83,387,173
14,State,Madhya Pradesh,0,0,0,0,144,943,1087,3,1021,63,34,29,54,0,0,0,0,0,0,16,27,58,43
15,State,Maharashtra,1148,531,13,1015,651,3493,4144,34,3463,647,137,510,21.2,18,0,0,0,7,4,49,74,419,74
16,State,Manipur,8,0,0,8,2,10,10,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,State,Meghalaya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,State,Mizoram,14,26,0,37,2,1,3,0,3,0,0,0,0,0,37,0,0,0,0,9,1,4,9
19,State,Nagaland,17,68,68,68,68,17,17,1,17,14,14,2,100,2,2,5,0,12,3,72,3,9,1
20,State,Orissa,119,657,10,305,461,2895,3356,18,3147,191,86,105,45,74,24,9,7,7,3,74,87,400,96
21,State,Punjab,195,182,55,57,265,1421,1686,17,1135,534,164,370,30.7,3,26,52,0,0,0,0,0,186,59
22,State,Rajasthan,335,228,0,381,432,3663,4095,0,4019,76,23,53,30.3,179,70,0,0,11,15,34,39,0,0
23,State,Sikkim,88,12,10,77,13,36,49,0,49,0,0,0,0,5,0,0,0,0,0,1,2,1,8
24,State,Tamil Nadu,68,408,62,258,156,1349,1505,20,1389,96,37,59,38.5,192,134,6,5,47,80,23,275,492,144
25,State,Tripura,4,2,0,4,1,4,5,0,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0
26,State,Uttar Pradesh,134,43,0,118,59,666,725,0,714,11,4,7,36.4,0,0,0,0,0,0,0,0,0,0
27,State,Uttarakhand,20,3,0,16,7,32,39,0,38,1,1,0,100,0,0,0,0,0,0,0,0,0,0
28,State,West Bengal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,State,Total (States),4729,4101,392,5436,4091,24874,28205,158,25358,3120,907,2175,29.1,599,448,103,19,110,125,364,771,2975,870
29,Union Territory,A & N Islands,12,0,0,14,2,12,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Union Territory,Chandigarh,62,13,0,23,52,95,147,0,133,14,6,8,42.9,0,0,0,0,0,0,0,0,6,11
31,Union Territory,D & N Haveli,0,0,0,0,0,9,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Union Territory,Daman & Diu,0,0,0,0,0,9,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,Union Territory,Delhi,204,95,0,226,73,595,668,4,572,92,50,42,54.3,33,0,0,0,0,0,11,18,58,8
34,Union Territory,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,Union Territory,Puducherry,13,9,0,21,1,64,65,1,62,2,0,2,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Union Territory,Total (UTs),291,117,0,284,128,784,912,5,785,108,56,52,51.9,33,0,0,0,0,0,11,18,64,19
Total (All-India),Total (All-India),Total (All-India),5020,4218,392,5720,4219,25658,29117,163,26143,3228,963,2227,29.8,632,448,103,19,110,125,375,789,3039,889
