Sr. No.,Category,States/ UTs,2007,2008,2009,Percentage Variation in - 2008 over 2007,Percentage Variation in - 2009 over 2008
1,State,Andhra Pradesh,2,4,12,100,200
2,State,Arunachal Pradesh,0,0,0,NA,NA
3,State,Assam,11,10,4,-9.1,-60
4,State,Bihar,4,3,33,-25,1000
5,State,Chhattisgarh,1,2,2,100,0
6,State,Goa,0,3,0,NA,-100
7,State,Gujarat,2,1,3,-50,200
8,State,Haryana,11,7,7,-36.4,0
9,State,Himachal Pradesh,0,0,1,NA,NA
10,State,Jammu & Kashmir,0,0,0,NA,NA
11,State,Jharkhand,2,5,1,150,-80
12,State,Karnataka,5,3,6,-40,100
13,State,Kerala,6,4,2,-33.3,-50
14,State,Madhya Pradesh,13,5,21,-61.5,320
15,State,Maharashtra,39,19,17,-51.3,-10.5
16,State,Manipur,0,0,0,NA,NA
17,State,Meghalaya,0,0,0,NA,NA
18,State,Mizoram,0,0,0,NA,NA
19,State,Nagaland,0,0,0,NA,NA
20,State,Orissa,0,1,0,NA,-100
21,State,Punjab,8,6,14,-25,133.3
22,State,Rajasthan,6,15,5,150,-66.7
23,State,Sikkim,0,0,0,NA,NA
24,State,Tamil Nadu,13,9,7,-30.8,-22.2
25,State,Tripura,0,0,0,NA,NA
26,State,Uttar Pradesh,26,24,24,-7.7,0
27,State,Uttarakhand,30,22,15,-26.7,-31.8
28,State,West Bengal,7,2,1,-71.4,-50
State,State,Total (States),186,145,175,-22,20.7
29,Union Territory,A & N Islands,0,0,0,NA,NA
30,Union Territory,Chandigarh,0,0,0,NA,NA
31,Union Territory,D & N Haveli,0,0,0,NA,NA
32,Union Territory,Daman & Diu,0,0,0,NA,NA
33,Union Territory,Delhi,0,0,0,NA,NA
34,Union Territory,Lakshadweep,0,0,0,NA,NA
35,Union Territory,Puducherry,0,0,0,NA,NA
Union Territory,Union Territory,Total (UTs),0,0,0,NA,NA
Total (All-India),Total (All-India),Total (All-India),186,145,175,-22,20.7
