Sr. No.,Category,States,City- Wise,Murder (Sec.302 IPC),Attempt to Commit Murder (Sec. 307 IPC),C.h. Not Amounting to Murder (Sec.304 & 308 IPC),Rape (Sec.376 IPC) - Total,Rape (Sec. 376 IPC) - Custodial,Rape (Sec. 376 IPC) - Other,"Kidnapping & Abduction (Sec. 363-369, 371-373 IPC) - Total","Kidnapping & Abduction (Sec. 363-369, 371-373 IPC) - of Women & Girls","Kidnapping & Abduction (Sec. 363-369, 371-373 IPC) - Others",Dacoity (Sec. 395 to 398 IPC),Preparation & Assembly for Dacoity (Sec.399-402 IPC),"Robbery (Sec.392-394, 397 & 398 IPC)","Burglary (Sec.449-452,454,455,457-460 IPC)",Theft (Sec.379 – 382 IPC) - Total,Theft (Sec.379 – 382 IPC) - Auto theft,Theft (Sec.379 – 382 IPC) - Other Theft,"Riots (Sec.143-145, 147-151, 153, 153A,153B,157,158,160 IPC)",Criminal Breach of Trust (Sec.406-409 IPC),"Cheating (Sec.419,420 IPC)","Counterfeiting (Sec.231-254, 489A-489D IPC)","Arson (Sec.435,436,438 IPC)","Hurt (Sec.323-333,335-338 IPC)",Dowry Deaths (Sec.304B IPC),Molestation (Sec. 354 IPC),Sexual Harassment (Sec.509 IPC),Cruelty by Husband and Relatives (Sec. 498A IPC),Importation of Girls (Sec.366B IPC),Causing Death by Negligence (Sec. 304A IPC),Other IPC Crimes,Total Cognizable Crimes Under IPC
1,State,Andhra Pradesh,Cyberabad,186,84,15,82,0,82,168,113,55,11,1,72,1348,3358,1365,1993,83,124,1174,13,71,3136,46,173,155,991,0,1063,2487,14841
2,State,Andhra Pradesh,Hyderabad,153,110,5,47,0,47,108,55,53,5,0,59,969,5091,2095,2996,199,85,2007,49,7,3516,36,295,63,1363,0,516,3157,17840
3,State,Andhra Pradesh,Vijayawada,34,54,1,23,0,23,63,53,10,0,0,22,176,1137,439,698,8,23,306,38,16,1547,17,177,198,433,0,290,617,5180
4,State,Andhra Pradesh,Vishakhapatnam,28,25,4,39,0,39,48,26,22,1,0,21,311,1040,420,620,12,62,270,19,13,473,13,95,54,481,0,428,1979,5416
5,State,Assam,Guwahati,86,34,4,54,0,54,293,231,62,24,8,165,631,1728,728,1000,49,148,227,9,45,721,9,162,0,321,0,311,2251,7280
6,State,Bihar,Patna,137,72,1,24,0,24,242,102,140,16,1,179,537,2247,1197,1050,227,12,225,13,4,87,27,8,0,205,0,114,4428,8806
7,State,Chhatitsgarh,Durg,34,31,0,42,0,42,10,9,1,4,2,41,324,808,539,269,47,11,78,10,14,248,3,81,6,63,0,164,2648,4669
8,State,Chhatitsgarh,Raipur,32,59,0,49,0,49,27,20,7,7,0,61,479,1037,536,501,79,41,110,20,26,1248,4,63,8,57,0,132,1447,4986
9,State,Gujarat,Ahmedabad,83,50,7,63,0,63,181,132,49,16,2,844,751,6283,4232,2051,178,224,205,16,6,1165,5,74,18,1169,0,205,9181,20726
10,State,Gujarat,Bhavnagar,16,6,0,4,0,4,20,17,3,3,0,16,89,369,189,180,31,10,32,8,3,36,0,16,24,86,0,0,1130,1899
11,State,Gujarat,Rajkot,35,26,1,8,0,8,47,38,9,9,0,41,233,1154,753,401,68,52,40,19,10,407,1,19,8,271,0,107,1919,4475
12,State,Gujarat,Surat,101,15,2,28,0,28,119,74,45,20,3,80,439,2220,1474,746,83,30,171,32,5,623,9,34,2,351,0,473,2724,7564
13,State,Gujarat,Vadodara,24,25,0,6,0,6,33,28,5,5,0,21,276,1426,939,487,134,32,92,7,2,253,0,17,0,178,0,125,2404,5060
14,State,Haryana,Faridabad,60,47,8,35,0,35,86,62,24,5,42,23,258,1136,887,249,129,132,44,3,4,175,17,26,4,179,0,243,1753,4409
15,State,Jharkhand,Dhanbad,20,13,6,5,0,5,27,23,4,15,2,13,98,361,240,121,63,13,41,1,1,101,10,5,0,11,0,2,508,1316
16,State,Jharkhand,Jamshedpur,72,188,15,34,0,34,54,30,24,15,1,60,120,1220,630,590,55,56,88,0,13,646,8,22,3,60,0,119,226,3075
17,State,Karnataka,Bengaluru,256,338,1,65,0,65,270,2,268,41,278,743,1592,11730,7074,4656,337,214,3007,65,8,2653,50,251,35,367,0,87,9992,32380
18,State,Karnataka,Belgaum,6,19,1,9,0,9,11,7,4,5,6,35,131,266,142,124,51,4,112,4,4,94,3,22,0,55,0,10,644,1492
19,State,Karnataka,Gulbarga,21,22,0,2,0,2,13,9,4,3,2,46,127,137,71,66,55,4,34,1,10,180,1,7,0,51,0,4,168,888
20,State,Karnataka,Hubli Dharwad,17,25,0,6,0,6,14,9,5,3,2,54,147,367,238,129,107,11,142,10,3,158,5,12,1,52,0,9,895,2040
21,State,Karnataka,Mysore,34,42,1,14,0,14,21,19,2,12,6,124,151,719,485,234,150,13,128,2,0,270,6,22,0,188,0,0,1280,3183
22,State,Kerala,Kochi,12,12,1,20,0,20,11,5,6,5,6,28,67,322,119,203,92,7,277,0,6,313,1,49,14,95,0,2,7417,8757
23,State,Kerala,Kozhikode,5,10,1,18,0,18,8,3,5,3,27,114,158,325,192,133,330,32,156,5,20,513,2,66,40,167,0,3,2002,4005
24,State,Kerala,Tvpm City,12,32,1,40,0,40,18,13,5,22,58,77,215,621,241,380,518,41,370,6,34,777,1,175,43,106,0,1,2738,5906
