Sr. No.,Category,States/ UTs,Total No. of Cases for Investigation Including Pending Cases from Previous Year (Col. 4),Cases Withdrawn by Govt. (Col. 5),No. of Cases in which Investigation Refused (Col. 6),No. of Cases in which Investigation Completed - Charge Found False /Mistake of Fact or Law etc. (Col. 7),No. of Cases in which - Investigation Completed - Final Report true Submitted (Col. 8),No. of Cases in which - Investigation Completed - Charge Sheets Submitted (Col. 9),No. of Cases in which - Investigation Completed - Total {(Col.7+Col.8+Col.9)} = (Col.10),No. of Cases Pending Investigation at the end of the Year (Col. 11),Pendency Percentage (Col. 12),Percentage of Pendency to All India Total (Col. 13),Charge-Sheeting Rate {(Col.9) / (Col.8+ Col.9)× 100)} = (Col. 14),Note of Pendency Percentage (Col.15),Note of Charge-Sheeting Rate ((Col8) / (Col7+ Col.8)× 100) = (Col. 16)
1,State,Andhra Pradesh,6174,0,4,2042,246,1869,4157,2013,32.6,17.6,88.4,NA,NA
2,State,Arunachal Pradesh,0,0,0,0,0,0,0,0,NA,0,NA,@,@
3,State,Assam,167,0,0,15,9,20,44,123,73.7,1.1,69,NA,NA
4,State,Bihar,7595,0,0,557,945,1902,3404,4191,55.2,36.6,66.8,NA,NA
5,State,Chhattisgarh,554,0,0,3,7,501,511,43,7.8,0.4,98.6,NA,NA
6,State,Goa,4,0,0,0,1,2,3,1,25,0,66.7,NA,NA
7,State,Gujarat,1319,1,4,41,47,1077,1165,149,11.3,1.3,95.8,NA,NA
8,State,Haryana,342,0,0,71,4,209,284,58,17,0.5,98.1,NA,NA
9,State,Himachal Pradesh,111,0,0,36,0,55,91,20,18,0.2,100,NA,NA
10,State,Jammu & Kashmir,1,0,0,0,0,1,1,0,0,0,100,NA,NA
11,State,Jharkhand,1134,0,0,56,116,425,597,537,47.4,4.7,78.6,NA,NA
12,State,Karnataka,2580,0,10,317,128,1607,2052,518,20.1,4.5,92.6,NA,NA
13,State,Kerala,695,0,0,134,76,289,499,196,28.2,1.7,79.2,NA,NA
14,State,Madhya Pradesh,3194,0,0,33,32,2909,2974,220,6.9,1.9,98.9,NA,NA
15,State,Maharashtra,1509,0,11,93,35,1028,1156,342,22.7,3,96.7,NA,NA
16,State,Manipur,0,0,0,0,0,0,0,0,NA,0,NA,@,@
17,State,Meghalaya,0,0,0,0,0,0,0,0,NA,0,NA,@,@
18,State,Mizoram,0,0,0,0,0,0,0,0,NA,0,NA,@,@
19,State,Nagaland,0,0,0,0,0,0,0,0,NA,0,NA,@,@
20,State,Odisha,2946,0,0,187,43,1125,1355,1591,54,13.9,96.3,NA,NA
21,State,Punjab,190,0,0,41,18,80,139,51,26.8,0.4,81.6,NA,NA
22,State,Rajasthan,5282,0,0,2607,72,2230,4909,373,7.1,3.3,96.9,NA,NA
23,State,Sikkim,22,0,0,3,3,11,17,5,22.7,0,78.6,NA,NA
24,State,Tamil Nadu,1837,1,0,476,83,816,1375,461,25.1,4,90.8,NA,NA
25,State,Tripura,8,0,0,1,3,3,7,1,12.5,0,50,NA,NA
26,State,Uttar Pradesh,8236,0,0,1229,952,5629,7810,426,5.2,3.7,85.5,NA,NA
27,State,Uttarakhand,65,0,0,3,13,44,60,5,7.7,0,77.2,NA,NA
28,State,West Bengal,43,0,0,0,0,4,4,39,90.7,0.3,100,NA,NA
State,State,Total (States),44008,2,29,7945,2833,21836,32614,11363,25.8,99.2,88.5,NA,NA
29,Union Territory,Andaman & Nicobar Islands,0,0,0,0,0,0,0,0,NA,0,NA,@,@
30,Union Territory,Chandigarh,2,0,0,0,0,0,0,2,100,0,NA,NA,@
31,Union Territory,Dadra Nagar Haveli,1,0,0,0,0,1,1,0,0,0,100,NA,NA
32,Union Territory,Daman & Diu,2,0,0,0,2,0,2,0,0,0,0,NA,NA
33,Union Territory,Delhi,94,0,0,4,2,17,23,71,75.5,0.6,89.5,NA,NA
34,Union Territory,Lakshadweep,0,0,0,0,0,0,0,0,NA,0,NA,@,@
35,Union Territory,Pondicherry,39,0,0,8,0,15,23,16,41,0.1,100,NA,NA
Union Territory,Union Territory,Total (UTs),138,0,0,12,4,33,49,89,64.5,0.8,89.2,NA,NA
Total (All-India),Total (All-India),Total (All-India),44146,2,29,7957,2837,21869,32663,11452,25.9,100,88.5,NA,NA
