Sr. No.,Category,States/ UTs,Total No. of Persons under Trial Including those from Previous Year,Total No. of Persons whose Cases Compounded or Withdrawn,Total No. of Persons whose Trial Completed,Total No. of Persons whose Trial Remained Pending at the end of the Year,No. of Persons Convicted,Pendency Percentage,Percentage of Pendency to All-India Total,Note of Pendency Percentage
1,State,Andhra Pradesh,2406,39,803,1564,109,65,5.3,NA
2,State,Arunachal Pradesh,160,0,0,160,0,100,0.5,NA
3,State,Assam,191,0,54,137,9,71.7,0.5,NA
4,State,Bihar,509,0,81,428,17,84.1,1.4,NA
5,State,Chhattisgarh,3315,20,479,2816,145,84.9,9.5,NA
6,State,Goa,8,0,0,8,0,100,0,NA
7,State,Gujarat,4355,3,350,4002,36,91.9,13.5,NA
8,State,Haryana,0,0,0,0,0,NA,0,@
9,State,Himachal Pradesh,40,27,1,12,0,30,0,NA
10,State,Jammu & Kashmir,4,0,0,4,0,100,0,NA
11,State,Jharkhand,945,1,363,581,108,61.5,2,NA
12,State,Karnataka,1976,5,618,1353,17,68.5,4.6,NA
13,State,Kerala,503,3,75,425,4,84.5,1.4,NA
14,State,Madhya Pradesh,8411,135,1929,6347,721,75.5,21.4,NA
15,State,Maharashtra,5168,5,511,4652,15,90,15.7,NA
16,State,Manipur,0,0,0,0,0,NA,0,@
17,State,Meghalaya,0,0,0,0,0,NA,0,@
18,State,Mizoram,0,0,0,0,0,NA,0,@
19,State,Nagaland,0,0,0,0,0,NA,0,@
20,State,Orissa,4126,0,429,3697,77,89.6,12.5,NA
21,State,Punjab,0,0,0,0,0,NA,0,@
22,State,Rajasthan,3825,39,783,3003,308,78.5,10.1,NA
23,State,Sikkim,34,1,10,23,9,67.6,0.1,NA
24,State,Tamil Nadu,248,0,105,143,26,57.7,0.5,NA
25,State,Tripura,36,0,26,10,9,27.8,0,NA
26,State,Uttar Pradesh,140,0,18,122,13,87.1,0.4,NA
27,State,Uttarakhand,24,0,16,8,11,33.3,0,NA
28,State,West Bengal,48,0,0,48,0,100,0.2,NA
State,State,Total (States),36472,278,6651,29543,1634,81,99.6,NA
29,Union Territory,A & N Islands,72,0,0,72,0,100,0.2,NA
30,Union Territory,Chandigarh,0,0,0,0,0,NA,0,@
31,Union Territory,D & N Haveli,61,0,8,53,2,86.9,0.2,NA
32,Union Territory,Daman & Diu,4,0,0,4,0,100,0,NA
33,Union Territory,Delhi,1,0,1,0,0,0,0,NA
34,Union Territory,Lakshadweep,1,0,0,1,0,100,0,NA
35,Union Territory,Puducherry,0,0,0,0,0,NA,0,@
Union Territory,Union Territory,Total (UTs),139,0,9,130,2,93.5,0.4,NA
