Sr. No. (Col.1),Crime Head (Col. 2),Cases Withdrawn by Govt. (Col. 3),Percentage of Cases to Total Cases for Investigation in Which - Investigaon Refused (Col. 4),Percentage of Cases to Total Cases for Investigation in Which - Investigation Completed (Col. 5) - Charge Found False /Mistake of Fact or Law Etc,Percentage of Cases to Total Cases for Investigation in Which - Investigation Completed (Col. 6) - Final Report True Submitted,Percentage of Cases to Total Cases for Investigation in Which - Investigation Completed (Col. 7) - Charge Sheets Submitted,Percentage of Cases to Total Cases for Investigation in Which - Investigation Completed (Col. 8) - Total = Col.{(5)+(6)+(7)},No of Cases Pending Investigation at the end of the year (Col. 9),Charge Sheeting Rate (Col. 10) = Col. (7)/(6)+ (7)} × 100
1,Infanticide (Sec.315 IPC),0,0,2.2,43,23.7,68.8,31.2,35.5
2,Murder (Sec.302 IPC),0.1,0.1,3,8.9,58.8,70.7,29,86.9
3,Rape (Sec. 376 IPC),0,0,3,2.5,65.1,70.5,29.4,96.3
4,"Kidnapping & Abduction (Sec.363-369,371-373 IPC)",0.7,0.5,12.3,12.5,38.4,63.2,35.5,75.4
5,Foeticide,0,0,8.2,45.6,17,70.9,29.1,27.2
6,Abetment to Suicide ( Sec.305 IPC),0,0,3,12.1,60.6,75.8,24.2,83.3
7,Exposure and Abandonment ( Sec. 317 IPC),0,0.1,2.2,65.8,7.7,75.7,24.2,10.4
8,Procuration Minor Girls ( Sec. 366A IPC),0,0,5.8,8.1,32.3,46.1,53.9,80
9,Buying of Girls for Prost. ( Sec.373 IPC),0,0,0,3.3,55.7,59,41,94.4
10,Selling of Girls for Prost.( Sec.372 IPC),0,0,0,8.6,16.6,25.2,74.8,65.8
11,"Child Marriage Restraint Act, 1978",0,0,6.3,4.2,31.3,41.7,58.3,88.2
12,Other Crimes,0,0,1.9,6.2,75.1,83.3,16.7,92.3
13,Total,0.3,0.2,6.3,10.4,54,70.6,28.9,83.9
