Sr. No. (Col.1),Crime Head (Col. 2),Cases Withdrawn by Govt. (Col. 3),Percentage of Cases to Total Cases for Trial - Compounded or Withdrawn (Col. 4),Percentage of Cases to Total Cases for Trial - No. of Cases in which Trials Completed - Convicted (Col. 5),Percentage of Cases to Total Cases for Trial - No. of Cases in which Trials Completed - Acquitted or Discharged (Col. 6),Percentage of Cases to Total Cases for Trial - No. of Cases - Total {(Col.5)+(Col.6)} = (Col. 7),No. Cases to Total cases for Trial Pending trial at the end of the year (Col. 8),Conviction Rate {(col.5)/ (Col.7)} × 100 = (Col. 9)
1,Infanticide (Sec.315 IPC),0,0.8,7.8,11.5,19.3,79.9,40.4
2,Murder (Sec.302 IPC),0,0.3,7.9,9.3,17.2,82.5,46.1
3,Rape (Sec. 376 IPC),0,0.2,5,11.4,16.4,83.4,30.7
4,"Kidnapping & Abduction (Sec. 363-369,371-373 IPC)",0,0.1,5,10.2,15.2,84.7,32.7
5,"Foeticide (Sec. 315, 316 IPC)",0,0,7.8,19.1,27,73,29
6,Abetment to Suicide ( Sec. 305 IPC),0,0,0.9,22.2,23.1,76.9,3.7
7,Exposure and Abandonment ( Sec. 317 IPC),0,0,0.9,7.1,8,92,11.4
8,Procuration Minor Girls ( Sec. 366A IPC),0,1.1,2.9,12.3,15.1,83.8,18.9
9,Buying of Girls for Prost. ( Sec.373 IPC),0,0,0.8,8.3,9.1,90.9,9.1
10,Selling of Girls for Prost. ( Sec.372 IPC),0,0,0,8.2,8.2,91.8,0
11,"Child Marriage Restraint Act, 1978",0,3.1,4.3,10.7,15,81.9,28.6
12,Other Crimes,0,3.1,6.5,11.8,18.4,78.5,35.5
13,Total,0,1.2,5.7,11,16.7,82.1,33.9
